denovo	total_genes	low_qcov_genes	low_qcov_percentage
GMODMALF_00815_gene_mRNA	1	1	100
GNDPMMCP_02166_gene_mRNA	8	8	100
GNOOMBDF_01715_gene_mRNA	18	10	55.5555555555556
HCEHDMML_01191_gene_mRNA	3	3	100
HCEHDMML_01343_gene_mRNA	2	0	0
HGDGAMDH_00213_gene_mRNA	16	9	56.25
HGJLAOHP_00498_gene_mRNA	1	1	100
HGJLAOHP_00695_gene_mRNA	2	2	100
HGKANDNA_00447_gene_mRNA	1	0	0
HGKANDNA_01424_gene_mRNA	8	5	62.5
HGKANDNA_01718_gene_mRNA	1	1	100
HKFOCBLP_00051_gene_mRNA	1	0	0
HKFOCBLP_00592_gene_mRNA	1	1	100
HPMEPLIM_00906_gene_mRNA	1	0	0
HPMEPLIM_01176_gene_mRNA	5	5	100
IAOIMLBH_00023_gene_mRNA	1	0	0
IAOIMLBH_01370_gene_mRNA	1	0	0
IBPOIFOJ_00301_gene_mRNA	1	0	0
IBPOIFOJ_00837_gene_mRNA	1	1	100
IOIKJFFK_00291_gene_mRNA	5	3	60
IOIKJFFK_00463_gene_mRNA	3	2	66.6666666666667
IOIKJFFK_01357_gene_mRNA	1	1	100
IONHLECP_01350_gene_mRNA	9	3	33.3333333333333
IONHLECP_01767_gene_mRNA	1	1	100
IONHLECP_02284_gene_mRNA	1	1	100
JKCEONJL_00383_gene_mRNA	2	0	0
JKCEONJL_01421_gene_mRNA	1	0	0
JNEHKGLE_01179_gene_mRNA	8	8	100
JNEHKGLE_01192_gene_mRNA	1	1	100
JNEHKGLE_01769_gene_mRNA	1	0	0
KGGIBHBC_00480_gene_mRNA	2	1	50
KGGIBHBC_00992_gene_mRNA	1	1	100
KGGIBHBC_01353_gene_mRNA	2	0	0
KGGIBHBC_01519_gene_mRNA	2	2	100
KKEPLHJF_01462_gene_mRNA	11	10	90.9090909090909
KLPMFDKH_00305_gene_mRNA	4	3	75
KLPMFDKH_00748_gene_mRNA	1	1	100
KLPMFDKH_01943_gene_mRNA	10	2	20
KMOELFFF_00397_gene_mRNA	1	0	0
KMOELFFF_00874_gene_mRNA	9	3	33.3333333333333
KNECDIJF_00704_gene_mRNA	3	3	100
KNEHCMDO_00301_gene_mRNA	1	0	0
KNEHCMDO_00837_gene_mRNA	1	1	100
KOPGNMII_00670_gene_mRNA	3	3	100
KOPGNMII_01455_gene_mRNA	1	1	100
LAJHHDHE_00197_gene_mRNA	1	0	0
LAJHHDHE_00587_gene_mRNA	1	0	0
LAMLPHDI_01330_gene_mRNA	14	10	71.4285714285714
LBEMKAPA_01754_gene_mRNA	1	1	100
LBKKHDLG_00914_gene_mRNA	6	6	100
LBKKHDLG_02022_gene_mRNA	5	0	0
LFPLOHAD_00052_gene_mRNA	1	0	0
LGNMEAEL_00403_gene_mRNA	1	0	0
LGNMEAEL_00989_gene_mRNA	36	36	100
LGNMEAEL_02176_gene_mRNA	2	0	0
LGNMEAEL_02216_gene_mRNA	2	0	0
LHBEBFMA_01203_gene_mRNA	1	0	0
LHBEBFMA_01371_gene_mRNA	5	5	100
LHBEBFMA_01401_gene_mRNA	9	9	100
LPGJLMGN_00309_gene_mRNA	2	0	0
LPGJLMGN_01998_gene_mRNA	1	0	0
LPGJLMGN_02261_gene_mRNA	6	6	100
MHNPHHGP_00743_gene_mRNA	22	15	68.1818181818182
MLLJDAHJ_00262_gene_mRNA	2	0	0
NDGJDIIF_00111_gene_mRNA	6	0	0
NJBILLPB_00461_gene_mRNA	1	1	100
OBEJPNEJ_01353_gene_mRNA	17	1	5.88235294117647
OCJIHLOK_01858_gene_mRNA	8	3	37.5
OFPOBCOD_00026_gene_mRNA	5	0	0
OKCMFDEG_00691_gene_mRNA	1	1	100
ONHDGIGB_01003_gene_mRNA	8	8	100
OPFPOKDM_00145_gene_mRNA	2	2	100
OPFPOKDM_00301_gene_mRNA	2	2	100
OPFPOKDM_00554_gene_mRNA	3	3	100
OPFPOKDM_01280_gene_mRNA	2	0	0
OPFPOKDM_01629_gene_mRNA	2	0	0
OPFPOKDM_02026_gene_mRNA	2	1	50
PBMLHHBH_01917_gene_mRNA	1	1	100
PBPJMCNB_00743_gene_mRNA	6	5	83.3333333333333
PBPJMCNB_01075_gene_mRNA	3	3	100
PBPJMCNB_01780_gene_mRNA	1	0	0
PCHKGBCN_01240_gene_mRNA	2	2	100
PCHKGBCN_01343_gene_mRNA	8	7	87.5
PDKJIDNC_00106_gene_mRNA	2	0	0
PDKJIDNC_00363_gene_mRNA	8	8	100
PHBODLGA_00461_gene_mRNA	1	1	100
PPKIDKBL_00710_gene_mRNA	3	3	100
PPKIDKBL_01485_gene_mRNA	2	0	0
