Environment created
Processing GCA_002214365@Thermococcus_celer_Vu_13


Calculating de novo conservation...
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 47 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 35 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 70 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 36 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 93 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 87 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 163 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 88 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 94 matches
Species GCA_000151205@Thermococcus_sp_AM4: 73 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 211 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 186 matches
Species GCA_000221185@Thermococcus_sp_4557: 167 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 138 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 171 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 137 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 37 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 49 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 51 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 96 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 161 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 188 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 158 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 44 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 44 matches
Species GCA_024707485@Thermococcus_sp_813A4: 209 matches
Species GCA_035621495@Thermococcus_sp_SY098: 53 matches
Species Pyrococcus_abyssi_GE2: 34 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 28 matches
Species Pyrococcus_endeavori_ES4: 31 matches
Species Pyrococcus_32_1: 30 matches
Species Pyrococcus_sp_GE_23: 35 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 88 matches
Species Palaeococcus_helgesoni_DSM_15127: 90 matches
Species Thermococcus_23_2: 192 matches
Species Pyrococcus_31_3: 30 matches
Species Pyrococcus_sp_32_3: 30 matches
Species GCA_020386975@Thermococcus_bergensis_T7324: 44 matches
Species Pyrococcus_sp_EXT_15c: 31 matches
Species Pyrococcus_sp_32_4: 30 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 48 matches
Species Pyrococcus_EXT16: 30 matches
Species Thermococcus_AMTc85: 92 matches
Species Thermococcus_aegaeus_DSM_12767: 41 matches
Species Thermococcus_barophilus_DT4: 48 matches
Species Thermococcus_alcaliphilus_DSM_10322: 42 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 88 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 98 matches
Species Thermococcus_31_3: 177 matches
Species Thermococcus_AMTc30: 93 matches
Species Thermococcus_15_2: 106 matches
Species Thermococcus_AMTc51: 93 matches
Species Thermococcus_29_3: 93 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 180 matches
Species Pyrococcus_sp_IRI_42C: 28 matches
Species Thermococcus_aggregans_DSM_12819: 44 matches
Species Thermococcus_barophilus_CH1: 55 matches
Species Thermococcus_barophilus_423_3_23: 49 matches
Species Thermococcus_AMTc11: 169 matches
Species Thermococcus_atlanticus_DSM_15226: 83 matches
Species Thermococcus_EXT11c: 95 matches
Species Thermococcus_coalescens_TS1: 214 matches
Species Thermococcus_fumicolans_ST557: 93 matches
Species Thermococcus_IRI_06c: 158 matches
Species Thermococcus_E15P35: 93 matches
Species Thermococcus_IRI15c: 178 matches
Species Thermococcus_sp_23_4: 193 matches
Species Thermococcus_sp_AMTc09: 88 matches
Species Thermococcus_sp_33_3: 90 matches
Species Thermococcus_sp_26_2: 88 matches
Species Thermococcus_marinus_DSM_15227: 95 matches
Species Thermococcus_prieuri_Col3: 104 matches
Species Thermococcus_profundus_DSM_9503: 96 matches
Species Thermococcus_sp_AMTc94: 93 matches
Species Thermococcus_sp_9_3: 95 matches
Species Thermococcus_sp_AMTc72: 170 matches
Species Thermococcus_sp_IRI14c: 178 matches
Species Thermococcus_sp_EXT09c: 96 matches
Species Thermococcus_sp_AMTc71: 170 matches
Species Thermococcus_sp_IRI_05c: 214 matches
Species Thermococcus_sp_CIR_03a: 179 matches
Species Thermococcus_sp_E10P11: 93 matches
Species Thermococcus_sp_AMTc102: 87 matches
Species Thermococcus_sp_unknown: 96 matches
Species Thermococcus_sp_CIR_10a: 52 matches
Species Thermococcus_waiotapuensis_WT1: 72 matches
Species Thermococcus_sp_TPV: 95 matches
Species Thermococcus_sp_AMTc79: 95 matches
Species Thermococcus_sp_DS1: 202 matches
Species Thermococcus_sp_IRI25c: 178 matches
Species Thermococcus_sp_E10P8: 93 matches
Species Thermococcus_sp_IRI_33c: 201 matches
Species Thermococcus_sp_E15p33: 93 matches
Species Thermococcus_sp_IRI27c2: 181 matches
Species Thermococcus_sp_IRI10c: 177 matches
Species Thermococcus_sp_IRI24c: 181 matches
Species Thermococcus_sp_IRI29c: 181 matches
Species Thermococcus_stetteri_DSM_5262: 86 matches



Running ssearch for all 6 frames of the 1000 CDSs...

Frame 0...
Species GCA_002214365@Thermococcus_celer_Vu_13: 1000 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 775 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 780 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 789 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 802 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 801 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 811 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 805 matches
Species GCA_002214605@Thermococcus_chitonophagus: 810 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 813 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 811 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 816 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 823 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 823 matches
Species GCA_002214525@Thermococcus_sp_P6: 824 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 817 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 818 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 826 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 829 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 834 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 832 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 842 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 844 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 843 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 849 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 859 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 849 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 852 matches
Species GCA_002197185@Thermococcus_sp_5_4: 856 matches
Species GCA_000151205@Thermococcus_sp_AM4: 853 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 851 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 851 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 857 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 847 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 857 matches
Species GCA_000221185@Thermococcus_sp_4557: 863 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 865 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 867 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 877 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 880 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 885 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 791 matches
Species GCA_020386975@Thermococcus_bergensis_T7324: 808 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 828 matches
Species Pyrococcus_sp_GE_23: 785 matches
Species Pyrococcus_abyssi_GE2: 800 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 812 matches
Species Pyrococcus_31_3: 816 matches
Species Pyrococcus_sp_IRI_42C: 789 matches
Species Pyrococcus_32_1: 816 matches
Species Pyrococcus_EXT16: 813 matches
Species Pyrococcus_endeavori_ES4: 812 matches
Species Pyrococcus_sp_32_4: 816 matches
Species Pyrococcus_sp_32_3: 815 matches
Species Pyrococcus_sp_EXT_15c: 814 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 828 matches
Species Thermococcus_aggregans_DSM_12819: 791 matches
Species GCA_035621495@Thermococcus_sp_SY098: 846 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 862 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 862 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 859 matches
Species Thermococcus_aegaeus_DSM_12767: 824 matches
Species GCA_024707485@Thermococcus_sp_813A4: 887 matches
Species Thermococcus_15_2: 848 matches
Species Thermococcus_29_3: 841 matches
Species Palaeococcus_helgesoni_DSM_15127: 863 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 873 matches
Species Thermococcus_AMTc51: 842 matches
Species Thermococcus_barophilus_DT4: 825 matches
Species Thermococcus_31_3: 850 matches
Species Thermococcus_barophilus_423_3_23: 840 matches
Species Thermococcus_23_2: 856 matches
Species Thermococcus_AMTc30: 851 matches
Species Thermococcus_alcaliphilus_DSM_10322: 840 matches
Species Thermococcus_AMTc85: 845 matches
Species Thermococcus_barophilus_CH1: 848 matches
Species Thermococcus_EXT11c: 836 matches
Species Thermococcus_E15P35: 844 matches
Species Thermococcus_atlanticus_DSM_15226: 881 matches
Species Thermococcus_AMTc11: 895 matches
Species Thermococcus_coalescens_TS1: 886 matches
Species Thermococcus_fumicolans_ST557: 827 matches
Species Thermococcus_profundus_DSM_9503: 830 matches
Species Thermococcus_IRI_06c: 874 matches
Species Thermococcus_prieuri_Col3: 845 matches
Species Thermococcus_marinus_DSM_15227: 858 matches
Species Thermococcus_sp_AMTc09: 832 matches
Species Thermococcus_sp_26_2: 835 matches
Species Thermococcus_sp_AMTc102: 839 matches
Species Thermococcus_sp_9_3: 848 matches
Species Thermococcus_sp_AMTc71: 836 matches
Species Thermococcus_sp_AMTc72: 836 matches
Species Thermococcus_sp_AMTc94: 834 matches
Species Thermococcus_IRI15c: 873 matches
Species Thermococcus_sp_23_4: 856 matches
Species Thermococcus_sp_AMTc79: 846 matches
Species Thermococcus_sp_33_3: 853 matches
Species Thermococcus_sp_E10P11: 840 matches
Species Thermococcus_sp_CIR_10a: 841 matches
Species Thermococcus_sp_E10P8: 838 matches
Species Thermococcus_sp_E15p33: 845 matches
Species Thermococcus_sp_EXT09c: 843 matches
Species Thermococcus_sp_CIR_03a: 870 matches
Species Thermococcus_waiotapuensis_WT1: 821 matches
Species Thermococcus_sp_unknown: 851 matches
Species Thermococcus_sp_DS1: 884 matches
Species Thermococcus_sp_IRI10c: 873 matches
Species Thermococcus_sp_IRI25c: 873 matches
Species Thermococcus_sp_IRI14c: 873 matches
Species Thermococcus_sp_IRI24c: 875 matches
Species Thermococcus_sp_IRI_05c: 882 matches
Species Thermococcus_sp_TPV: 860 matches
Species Thermococcus_sp_IRI27c2: 875 matches
Species Thermococcus_stetteri_DSM_5262: 865 matches
Species Thermococcus_sp_IRI29c: 874 matches
Species Thermococcus_sp_IRI_33c: 881 matches

Frame 1...
Species GCA_002214365@Thermococcus_celer_Vu_13: 1000 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 471 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 544 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 479 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 523 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 484 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 631 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 479 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 534 matches
Species GCA_002214605@Thermococcus_chitonophagus: 501 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 483 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 508 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 646 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 477 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 478 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 652 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 541 matches
Species GCA_002214525@Thermococcus_sp_P6: 733 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 589 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 647 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 727 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 668 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 735 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 558 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 675 matches
