genome	denovo_gene	outgroup	noncoding_match_contig	noncoding_match_start	noncoding_match_end	noncoding_match_strand	intergenic	f+0	f+1	f+2	n_genes	gene_matches
GCA_008152015@Thermococcus_aciditolerans_SY113	AJGPKGBP_00434_gene_mRNA	GCA_006274605@Thermococcus_indicus_IOH1	NZ_CP040846	1303310	1303868	+	172	0	372	14	2	PBPJMCNB_01456;PBPJMCNB_01457
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	MHNPHHGP_00743_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	805572	805848	-	265	0	11	0	1	AJHNGCFL_00911
GCA_020386975@Thermococcus_bergensis_T7324	KOPGNMII_00670_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	1474227	1474764	-	312	135	0	0	2	FDFCGALF_01699;FDFCGALF_01700
GCA_020386975@Thermococcus_bergensis_T7324	KOPGNMII_01455_gene_mRNA	GCA_023746595@Thermococcus_argininiproducens_IOH2	NZ_CP080572	1516036	1516099	+	59	0	0	4	1	DHDBELCC_01616
GCA_023746595@Thermococcus_argininiproducens_IOH2	DHDBELCC_01569_gene_mRNA	GCA_000022545@Thermococcus_sibiricus_MM_739	NC_012883	854611	854698	+	29	0	58	0	1	GAIOKEBO_00949
GCA_028471785@Thermococcus_kodakarensis_TS900	IBPOIFOJ_00301_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	534355	534529	-	142	0	0	32	1	HGKANDNA_00573
GCA_028471785@Thermococcus_kodakarensis_TS900	IBPOIFOJ_00837_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	196104	196221	+	112	0	0	5	1	HGKANDNA_00202
GCA_028471865@Thermococcus_kodakarensis_TS901	KNEHCMDO_00301_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	534355	534529	-	142	0	0	32	1	HGKANDNA_00573
GCA_028471865@Thermococcus_kodakarensis_TS901	KNEHCMDO_00837_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	196104	196221	+	112	0	0	5	1	HGKANDNA_00202
GCA_035621495@Thermococcus_sp_SY098	LGNMEAEL_00403_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1153157	1153253	+	47	0	49	0	1	KLPMFDKH_01281
GCA_035621495@Thermococcus_sp_SY098	LGNMEAEL_00989_gene_mRNA	GCA_000517445@Thermococcus_paralvinellae_ES1	NZ_CP006965	1304030	1304225	-	195	0	0	0	0	
GCA_035621495@Thermococcus_sp_SY098	LGNMEAEL_02176_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	626064	626217	-	153	0	0	0	0	
GCA_035621495@Thermococcus_sp_SY098	LGNMEAEL_02216_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	660527	660611	+	84	0	0	0	0	
GCA_900012635@Thermococcus_chitonophagus_isolate_1	PPKIDKBL_00710_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	850717	850828	+	66	45	0	0	1	FDLBPKII_00880
GCA_900012635@Thermococcus_chitonophagus_isolate_1	PPKIDKBL_01485_gene_mRNA	Pyrococcus_31_3	7490	640173	640371	+	198	0	0	0	0	
GCA_900198835@Thermococcus_henrietii_EXT12c	LHBEBFMA_01203_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	NC_012804	430377	430440	+	52	0	11	0	1	IOIKJFFK_00447
GCA_900198835@Thermococcus_henrietii_EXT12c	LHBEBFMA_01371_gene_mRNA	GCA_002214505@Thermococcus_siculi_RG_20	NZ_CP015103	1371177	1371315	+	138	0	0	0	0	
GCA_900198835@Thermococcus_henrietii_EXT12c	LHBEBFMA_01401_gene_mRNA	Thermococcus_EXT11c	11137	1543516	1543828	-	312	0	0	0	0	
GCA_902813195@Thermococcus_sp_2319x1_Essen	HPMEPLIM_00906_gene_mRNA	GCA_000022545@Thermococcus_sibiricus_MM_739	NC_012883	906837	906984	+	147	0	0	0	0	
GCA_902813195@Thermococcus_sp_2319x1_Essen	HPMEPLIM_01176_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	1016519	1016684	+	165	0	0	0	0	
GCA_904067545@Thermococcus_camini_IRI35c	BFHCEGCA_00089_gene_mRNA	Thermococcus_23_2	7487	687904	688021	+	117	0	0	0	0	
GCA_904067545@Thermococcus_camini_IRI35c	BFHCEGCA_00679_gene_mRNA	Thermococcus_IRI15c	11152	597424	597589	+	165	0	0	0	0	
Palaeococcus_helgesoni_DSM_15127	GNOOMBDF_01715_gene_mRNA	Thermococcus_sp_E10P11	11811	879954	880191	-	237	0	0	0	0	
Pyrococcus_31_3	OPFPOKDM_00145_gene_mRNA	Pyrococcus_EXT16	7485	1215116	1215275	-	159	0	0	0	0	
Pyrococcus_31_3	OPFPOKDM_00301_gene_mRNA	Pyrococcus_EXT16	7485	1375287	1375365	+	64	0	0	14	1	KGGIBHBC_01566
Pyrococcus_31_3	OPFPOKDM_00554_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	850717	850828	+	66	45	0	0	1	FDLBPKII_00880
Pyrococcus_31_3	OPFPOKDM_01280_gene_mRNA	Pyrococcus_EXT16	7485	273434	273551	+	117	0	0	0	0	
Pyrococcus_31_3	OPFPOKDM_01629_gene_mRNA	Pyrococcus_EXT16	7485	771291	771372	+	81	0	0	0	0	
Pyrococcus_31_3	OPFPOKDM_02026_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	1342820	1342910	+	90	0	0	0	0	
Pyrococcus_32_1	ADNHAJGI_00145_gene_mRNA	Pyrococcus_EXT16	7485	1215116	1215275	-	159	0	0	0	0	
Pyrococcus_32_1	ADNHAJGI_00301_gene_mRNA	Pyrococcus_EXT16	7485	1375287	1375365	+	64	0	0	14	1	KGGIBHBC_01566
Pyrococcus_32_1	ADNHAJGI_00554_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	850717	850828	+	66	45	0	0	1	FDLBPKII_00880
Pyrococcus_32_1	ADNHAJGI_01280_gene_mRNA	Pyrococcus_EXT16	7485	273434	273551	+	117	0	0	0	0	
Pyrococcus_32_1	ADNHAJGI_01629_gene_mRNA	Pyrococcus_EXT16	7485	771291	771372	+	81	0	0	0	0	
Pyrococcus_32_1	ADNHAJGI_02026_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	1342820	1342910	+	90	0	0	0	0	
Pyrococcus_endeavori_ES4	FOMOJKPC_00710_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	680729	680981	-	252	0	0	0	0	
Pyrococcus_EXT16	KGGIBHBC_00480_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	1342820	1342910	+	90	0	0	0	0	
Pyrococcus_EXT16	KGGIBHBC_00992_gene_mRNA	Pyrococcus_31_3	7490	1342144	1342261	+	117	0	0	0	0	
Pyrococcus_EXT16	KGGIBHBC_01353_gene_mRNA	Pyrococcus_31_3	7490	67223	67433	+	210	0	0	0	0	
Pyrococcus_EXT16	KGGIBHBC_01519_gene_mRNA	Pyrococcus_31_3	7490	259303	259384	-	81	0	0	0	0	
Pyrococcus_sp_32_3	EDCHFHLE_00518_gene_mRNA	Pyrococcus_EXT16	7485	273434	273551	+	117	0	0	0	0	
Pyrococcus_sp_32_3	EDCHFHLE_00867_gene_mRNA	Pyrococcus_EXT16	7485	771291	771372	+	81	0	0	0	0	
Pyrococcus_sp_32_3	EDCHFHLE_01264_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	1342820	1342910	+	90	0	0	0	0	
Pyrococcus_sp_32_3	EDCHFHLE_01627_gene_mRNA	Pyrococcus_EXT16	7485	1215116	1215275	-	159	0	0	0	0	
Pyrococcus_sp_32_3	EDCHFHLE_01783_gene_mRNA	Pyrococcus_EXT16	7485	1375287	1375365	+	64	0	0	14	1	KGGIBHBC_01566
Pyrococcus_sp_32_3	EDCHFHLE_02036_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	850717	850828	+	66	45	0	0	1	FDLBPKII_00880
Pyrococcus_sp_32_4	ANCILGIH_00499_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	850717	850828	+	66	45	0	0	1	FDLBPKII_00880
Pyrococcus_sp_32_4	ANCILGIH_00752_gene_mRNA	Pyrococcus_EXT16	7485	1375287	1375365	+	64	0	0	14	1	KGGIBHBC_01566
Pyrococcus_sp_32_4	ANCILGIH_00907_gene_mRNA	Pyrococcus_EXT16	7485	1215116	1215275	-	159	0	0	0	0	
Pyrococcus_sp_32_4	ANCILGIH_00951_gene_mRNA	Pyrococcus_31_3	7490	98782	98989	-	203	0	4	0	1	OPFPOKDM_00101
Pyrococcus_sp_32_4	ANCILGIH_01271_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	1342820	1342910	+	90	0	0	0	0	
Pyrococcus_sp_32_4	ANCILGIH_01668_gene_mRNA	Pyrococcus_EXT16	7485	771291	771372	+	81	0	0	0	0	
Pyrococcus_sp_EXT_15c	GDFJICBN_01038_gene_mRNA	GCA_001577775@Pyrococcus_kukulkanii_NCB100	NZ_CP010835	1019483	1019603	-	120	0	0	0	0	
Pyrococcus_sp_EXT_15c	GDFJICBN_01274_gene_mRNA	GCA_000195935@Pyrococcus_abyssi_GE5	NC_000868	65330	65390	+	60	0	0	0	0	
Pyrococcus_sp_EXT_15c	GDFJICBN_01612_gene_mRNA	GCA_001577775@Pyrococcus_kukulkanii_NCB100	NZ_CP010835	1496015	1496264	+	249	0	0	0	0	
Thermococcus_15_2	OFPOBCOD_00026_gene_mRNA	Thermococcus_atlanticus_DSM_15226	11783	1350944	1351055	-	111	0	0	0	0	
Thermococcus_23_2	DLHNAOEN_01913_gene_mRNA	Thermococcus_31_3	7489	1318853	1319171	-	318	0	0	0	0	
Thermococcus_29_3	ONHDGIGB_01003_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_aegaeus_DSM_12767	JKCEONJL_00383_gene_mRNA	GCA_024022995@Thermococcus_aggregans_TY	NZ_CP099582	1289235	1289391	-	156	0	0	0	0	
Thermococcus_aegaeus_DSM_12767	JKCEONJL_01421_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	975163	975259	-	96	0	0	0	0	
Thermococcus_alcaliphilus_DSM_10322	HKFOCBLP_00051_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	2020306	2020471	+	70	0	0	95	1	DKLHHBAG_02325
Thermococcus_alcaliphilus_DSM_10322	HKFOCBLP_00592_gene_mRNA	GCA_024022995@Thermococcus_aggregans_TY	NZ_CP099582	93165	93324	-	159	0	0	0	0	
Thermococcus_AMTc11	GFJMONNO_00169_gene_mRNA	Thermococcus_sp_TPV	7510	1451617	1452124	-	507	0	0	0	0	
Thermococcus_AMTc11	GFJMONNO_00541_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	595144	595342	+	198	0	0	0	0	
Thermococcus_AMTc11	GFJMONNO_02308_gene_mRNA	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	1747959	1748097	-	134	0	4	0	1	KMOELFFF_01905
Thermococcus_AMTc30	DBJFJDPB_00921_gene_mRNA	Thermococcus_sp_unknown	8821	1141748	1142126	+	378	0	0	0	0	
Thermococcus_AMTc30	DBJFJDPB_01482_gene_mRNA	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	453496	453697	-	72	129	0	0	1	KMOELFFF_00489
Thermococcus_AMTc30	DBJFJDPB_01532_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	1008394	1008769	+	375	0	0	0	0	
Thermococcus_AMTc51	PCHKGBCN_01240_gene_mRNA	Thermococcus_15_2	7488	850688	851033	+	345	0	0	0	0	
Thermococcus_AMTc51	PCHKGBCN_01343_gene_mRNA	Thermococcus_atlanticus_DSM_15226	11783	913817	913928	+	82	0	0	29	1	OBEJPNEJ_01008
Thermococcus_AMTc85	HGJLAOHP_00498_gene_mRNA	Thermococcus_sp_unknown	8821	589328	589547	+	219	0	0	0	0	
Thermococcus_AMTc85	HGJLAOHP_00695_gene_mRNA	Thermococcus_sp_E10P11	11811	301025	301133	-	108	0	0	0	0	
Thermococcus_atlanticus_DSM_15226	OBEJPNEJ_01353_gene_mRNA	Thermococcus_fumicolans_ST557	14021	343563	343674	+	111	0	0	0	0	
Thermococcus_barophilus_423_3_23	KLPMFDKH_00305_gene_mRNA	Thermococcus_sp_CIR_10a	8818	11167	11350	-	183	0	0	0	0	
Thermococcus_barophilus_423_3_23	KLPMFDKH_00748_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	361634	361751	-	117	0	0	0	0	
Thermococcus_barophilus_423_3_23	KLPMFDKH_01943_gene_mRNA	Thermococcus_barophilus_DT4	4060	1307779	1307878	+	99	0	0	0	0	
Thermococcus_barophilus_CH1	FOFBPMIL_00102_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	626064	626217	-	153	0	0	0	0	
Thermococcus_barophilus_CH1	FOFBPMIL_01481_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1786528	1786603	+	40	0	0	35	1	KLPMFDKH_02044
Thermococcus_barophilus_CH1	FOFBPMIL_01636_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1948038	1948173	+	135	0	0	0	0	
Thermococcus_barophilus_CH1	FOFBPMIL_01738_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	123179	123368	-	189	0	0	0	0	
Thermococcus_coalescens_TS1	AFABOCMA_00991_gene_mRNA	GCA_000725425@Palaeococcus_pacificus_DY20341	NZ_CP006019	1740332	1740560	+	228	0	0	0	0	
Thermococcus_coalescens_TS1	AFABOCMA_01508_gene_mRNA	Thermococcus_31_3	7489	1450966	1451059	+	93	0	0	0	0	
Thermococcus_coalescens_TS1	AFABOCMA_02009_gene_mRNA	Thermococcus_sp_CIR_03a	8822	107954	108278	-	324	0	0	0	0	
Thermococcus_E15P35	PDKJIDNC_00106_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	913715	913868	+	126	0	4	0	2	AJGPKGBP_01011;AJGPKGBP_01012
Thermococcus_E15P35	PDKJIDNC_00363_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_EXT11c	OKCMFDEG_00691_gene_mRNA	Thermococcus_sp_AMTc71	13480	1224252	1224387	+	135	0	0	0	0	
Thermococcus_fumicolans_ST557	NDGJDIIF_00111_gene_mRNA	Thermococcus_atlanticus_DSM_15226	11783	2205374	2205467	+	93	0	0	0	0	
Thermococcus_IRI15c	LFPLOHAD_00052_gene_mRNA	Thermococcus_23_2	7487	687904	688021	+	117	0	0	0	0	
Thermococcus_marinus_DSM_15227	IONHLECP_01350_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	1039851	1039965	-	114	0	0	0	0	
Thermococcus_marinus_DSM_15227	IONHLECP_01767_gene_mRNA	Thermococcus_sp_E10P11	11811	1223297	1223378	-	75	6	0	0	1	GNDPMMCP_01364
Thermococcus_marinus_DSM_15227	IONHLECP_02284_gene_mRNA	Thermococcus_prieuri_Col3	7494	1637233	1637413	-	179	0	1	0	1	EJGDLNBA_01826
Thermococcus_sp_23_4	DIIPPFNO_01130_gene_mRNA	Thermococcus_31_3	7489	1318853	1319171	-	318	0	0	0	0	
Thermococcus_sp_33_3	EEHIGLKK_00126_gene_mRNA	Thermococcus_sp_AMTc79	11778	1046216	1046363	+	147	0	0	0	0	
Thermococcus_sp_33_3	EEHIGLKK_01721_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_sp_9_3	JNEHKGLE_01179_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_sp_9_3	JNEHKGLE_01192_gene_mRNA	Thermococcus_AMTc30	10769	156625	156985	-	360	0	0	0	0	
Thermococcus_sp_9_3	JNEHKGLE_01769_gene_mRNA	Thermococcus_29_3	7513	1422886	1423087	+	201	0	0	0	0	
Thermococcus_sp_AMTc71	PHBODLGA_00461_gene_mRNA	Thermococcus_sp_CIR_03a	8822	1797501	1797615	+	114	0	0	0	0	
Thermococcus_sp_AMTc72	NJBILLPB_00461_gene_mRNA	Thermococcus_sp_CIR_03a	8822	1797501	1797615	+	114	0	0	0	0	
Thermococcus_sp_AMTc79	EFDKJKPG_00294_gene_mRNA	Thermococcus_AMTc51	10770	1480424	1480829	+	405	0	0	0	0	
Thermococcus_sp_AMTc79	EFDKJKPG_01864_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_sp_AMTc79	EFDKJKPG_02040_gene_mRNA	Thermococcus_prieuri_Col3	7494	421749	421839	-	0	0	90	0	1	EJGDLNBA_00477
Thermococcus_sp_AMTc94	CJOMCJEF_01588_gene_mRNA	Thermococcus_29_3	7513	1422886	1423087	+	201	0	0	0	0	
Thermococcus_sp_AMTc94	CJOMCJEF_02177_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014999	2015134	+	135	0	0	0	0	
Thermococcus_sp_CIR_03a	KKEPLHJF_01462_gene_mRNA	Thermococcus_AMTc11	7483	655795	655882	+	87	0	0	0	0	
Thermococcus_sp_CIR_10a	GHGJAMGE_00458_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1875207	1875309	-	102	0	0	0	0	
Thermococcus_sp_CIR_10a	GHGJAMGE_01361_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1193323	1193446	+	123	0	0	0	0	
Thermococcus_sp_CIR_10a	GHGJAMGE_02025_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	361634	361751	-	117	0	0	0	0	
Thermococcus_sp_CIR_10a	GHGJAMGE_02380_gene_mRNA	Thermococcus_barophilus_CH1	4059	2049164	2049242	-	24	54	0	0	1	FOFBPMIL_02258
Thermococcus_sp_DS1	LBKKHDLG_00914_gene_mRNA	Thermococcus_sp_IRI_33c	8820	1757410	1757596	-	186	0	0	0	0	
Thermococcus_sp_DS1	LBKKHDLG_02022_gene_mRNA	Thermococcus_sp_IRI_33c	8820	815147	815231	-	0	0	84	0	1	KNECDIJF_00941
Thermococcus_sp_E10P11	GNDPMMCP_02166_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_sp_E10P8	GKAADPKM_02166_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_sp_E15p33	EGODEMLK_00126_gene_mRNA	Thermococcus_23_2	7487	864306	864681	-	375	0	0	0	0	
