gene_id	focal_genome	nc_genome	nc_match_contig	nc_match_strand	nc_match_start	nc_match_end	n_overlapping_genes	overlapping_genes	f0	f1	f2	intergenic	outgroup_nb
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_000725425@Palaeococcus_pacificus_DY20341	NZ_CP006019	+	1566283	1566640	0		0	0	0	357	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	-	1378625	1379006	1	DKLHHBAG_01557	0	32	0	349	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_alcaliphilus_DSM_10322	11782	-	1276719	1277100	1	HKFOCBLP_01409	0	35	0	346	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_aegaeus_DSM_12767	11780	-	1621082	1621466	1	JKCEONJL_01776	0	35	0	349	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000005	+	154712	155018	0		0	0	0	306	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_000022545@Thermococcus_sibiricus_MM_739	NC_012883	+	1536510	1536867	0		0	0	0	357	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_023746595@Thermococcus_argininiproducens_IOH2	NZ_CP080572	+	242329	242713	1	DHDBELCC_00247	0	35	0	349	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_000151105@Thermococcus_barophilus_MP	NC_014804	+	1196998	1197274	1	MLLJDAHJ_01383	0	11	0	265	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_001433455@Thermococcus_barophilus_CH5	NZ_CP013050	+	1401872	1402148	1	LPGJLMGN_01628	0	11	0	265	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_barophilus_CH1	4059	+	1188512	1188788	1	FOFBPMIL_01322	0	11	0	265	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	+	901056	901356	1	LGNMEAEL_01006	0	35	0	265	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_barophilus_423_3_23	4061	+	1660475	1660772	1	KLPMFDKH_01884	0	32	0	265	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	-	805572	805848	1	AJHNGCFL_00911	0	11	0	265	2
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_000211475@Pyrococcus_sp_NA2	NC_015474	+	1463285	1463555	1	CEHDAOCF_01617	0	5	0	265	1
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Pyrococcus_sp_IRI_42C	8814	+	257084	257381	1	PJJLKOLC_00288	0	32	0	265	1
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	GCA_000258515@Thermococcus_zilligii_AN1	NZ_AJLF01000002	-	463639	463822	0		0	0	0	183	4
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	Thermococcus_waiotapuensis_WT1	14024	-	470311	470494	0		0	0	0	183	4
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	GCA_002214385@Thermococcus_gorgonarius_W_12	NZ_CP014855	+	1417337	1417520	0		0	0	0	183	4
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	Thermococcus_profundus_DSM_9503	4062	-	1916688	1916862	0		0	0	0	174	4
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	Thermococcus_fumicolans_ST557	14021	-	428112	428292	0		0	0	0	180	4
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	GCA_000816105@Thermococcus_guaymasensis_DSM_11113	NZ_CP007140	-	671353	671527	0		0	0	0	174	2
IOIKJFFK_00291_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	GCA_000151205@Thermococcus_sp_AM4	NC_016051	-	1677172	1677355	0		0	0	0	183	1
GCEEKKGH_00611_gene_mRNA	GCA_000265525@Thermococcus_cleftensis_CL1	GCA_001647085@Thermococcus_piezophilus_CDGS	NZ_CP015520	-	1185007	1185121	0		0	0	0	114	3
GCEEKKGH_00611_gene_mRNA	GCA_000265525@Thermococcus_cleftensis_CL1	GCA_024707485@Thermococcus_sp_813A4	NZ_CP102602	+	1117198	1117294	1	BIGFIPKJ_01270	72	0	0	24	2
GCEEKKGH_00611_gene_mRNA	GCA_000265525@Thermococcus_cleftensis_CL1	Thermococcus_sp_DS1	7110	+	1171249	1171348	1	LBKKHDLG_01354	72	0	0	27	2
GCEEKKGH_00611_gene_mRNA	GCA_000265525@Thermococcus_cleftensis_CL1	Thermococcus_sp_IRI_33c	8820	-	1394885	1394984	1	KNECDIJF_01601	72	0	0	27	2
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_fumicolans_ST557	14021	-	1452989	1453211	0		0	0	0	222	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014751	+	6651	6996	0		0	0	0	345	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	+	449050	449401	1	AJGPKGBP_00482	0	2	0	349	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_sp_CIR_03a	8822	+	1840201	1840546	0		0	0	0	345	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_002214545@Thermococcus_thioreducens_OGL_20P	NZ_CP015105	+	1269599	1269944	0		0	0	0	345	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_sp_IRI_05c	8817	-	983655	984000	0		0	0	0	345	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_024707485@Thermococcus_sp_813A4	NZ_CP102602	-	374005	374350	0		0	0	0	345	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_coalescens_TS1	14020	+	1640786	1641047	0		0	0	0	261	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_31_3	7489	-	1158083	1158344	0		0	0	0	261	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_atlanticus_DSM_15226	11783	+	498748	499048	1	OBEJPNEJ_00551	0	35	0	265	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_000725425@Palaeococcus_pacificus_DY20341	NZ_CP006019	+	1566283	1566640	0		0	0	0	357	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	-	1378625	1379006	1	DKLHHBAG_01557	0	32	0	349	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_alcaliphilus_DSM_10322	11782	-	1276719	1277100	1	HKFOCBLP_01409	0	35	0	346	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_aegaeus_DSM_12767	11780	-	1621082	1621466	1	JKCEONJL_01776	0	35	0	349	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000005	+	154712	155018	0		0	0	0	306	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_000022545@Thermococcus_sibiricus_MM_739	NC_012883	+	1536510	1536867	0		0	0	0	357	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_023746595@Thermococcus_argininiproducens_IOH2	NZ_CP080572	+	242329	242713	1	DHDBELCC_00247	0	35	0	349	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_000151105@Thermococcus_barophilus_MP	NC_014804	+	1196998	1197274	1	MLLJDAHJ_01383	0	11	0	265	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_001433455@Thermococcus_barophilus_CH5	NZ_CP013050	+	1401872	1402148	1	LPGJLMGN_01628	0	11	0	265	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_barophilus_CH1	4059	+	1188512	1188788	1	FOFBPMIL_01322	0	11	0	265	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	+	901056	901356	1	LGNMEAEL_01006	0	35	0	265	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Thermococcus_barophilus_423_3_23	4061	+	1660475	1660772	1	KLPMFDKH_01884	0	32	0	265	3
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	-	805572	805848	1	AJHNGCFL_00911	0	11	0	265	2
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	GCA_000211475@Pyrococcus_sp_NA2	NC_015474	+	1463285	1463555	1	CEHDAOCF_01617	0	5	0	265	1
EDEBIHJP_00574_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	Pyrococcus_sp_IRI_42C	8814	+	257084	257381	1	PJJLKOLC_00288	0	32	0	265	1
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	+	557352	557574	0		0	0	0	222	11
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_AMTc30	10769	-	156625	156985	0		0	0	0	360	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_AMTc85	10774	-	286680	287040	0		0	0	0	360	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_EXT11c	11137	+	1842255	1842615	0		0	0	0	360	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_EXT09c	8819	+	1056222	1056582	0		0	0	0	360	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_AMTc51	10770	+	866458	866818	0		0	0	0	360	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_unknown	8821	-	446200	446551	0		0	0	0	351	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	GCA_900198835@Thermococcus_henrietii_EXT12c	NZ_LT900021	-	1666892	1667252	0		0	0	0	360	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_TPV	7510	-	1552289	1552511	0		0	0	0	222	4
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_AMTc09	12160	-	1770416	1770776	0		0	0	0	360	3
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_AMTc102	11786	+	636425	636785	0		0	0	0	360	3
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_26_2	8824	+	53599	53959	0		0	0	0	360	3
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_AMTc79	11778	+	1663474	1663696	0		0	0	0	222	2
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_E10P11	11811	-	1913541	1913763	0		0	0	0	222	1
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_sp_E10P8	11801	-	1913541	1913763	0		0	0	0	222	1
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	Thermococcus_29_3	7513	+	892374	892599	0		0	0	0	225	1
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	+	1981130	1981226	1	DKLHHBAG_02280	0	0	80	16	6
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	Thermococcus_alcaliphilus_DSM_10322	11782	-	111406	111502	1	HKFOCBLP_00116	0	0	80	16	6
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	-	662009	662105	1	FDFCGALF_00760	0	0	80	16	6
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	-	661612	661708	1	HPMEPLIM_00752	0	0	80	16	6
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_024022995@Thermococcus_aggregans_TY	NZ_CP099582	-	1602761	1602857	1	AHMILBLB_01753	0	0	80	16	6
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	Thermococcus_aggregans_DSM_12819	11781	-	1604752	1604848	1	LIBPHDLJ_01753	0	0	80	16	6
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_000517445@Thermococcus_paralvinellae_ES1	NZ_CP006965	-	1837815	1837947	1	NEIFGDLC_02043	0	0	83	49	5
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	Thermococcus_barophilus_DT4	4060	-	1854866	1854968	1	GHPKADDI_02114	0	0	83	19	5
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	Thermococcus_barophilus_423_3_23	4061	-	177958	178093	1	KLPMFDKH_00196	0	0	83	52	4
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	Thermococcus_sp_CIR_10a	8818	+	104519	104654	1	GHGJAMGE_00127	0	0	83	52	4
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	-	1449369	1449477	1	LGNMEAEL_01601	0	0	108	0	3
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	Thermococcus_barophilus_CH1	4059	-	1756659	1756794	1	FOFBPMIL_01928	0	0	83	52	2
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	GCA_000151105@Thermococcus_barophilus_MP	NC_014804	-	1757327	1757462	1	MLLJDAHJ_01965	0	0	83	52	1
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_000022365@Thermococcus_gammatolerans_EJ3	NC_012804	-	1950645	1950762	1	IOIKJFFK_02118	0	0	4	113	8
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_024022995@Thermococcus_aggregans_TY	NZ_CP099582	+	1110717	1110876	0		0	0	0	159	5
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	Thermococcus_aggregans_DSM_12819	11781	+	1148624	1148783	0		0	0	0	159	5
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000003	-	255790	255922	0		0	0	0	132	4
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	-	775997	776129	0		0	0	0	132	2
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	Thermococcus_alcaliphilus_DSM_10322	11782	+	972840	973026	0		0	0	0	186	2
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	+	36551	36731	0		0	0	0	180	1
FDFCGALF_01644_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	-	1423526	1423976	1	DKLHHBAG_01610	0	56	0	394	2
FDFCGALF_01644_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	-	1479836	1480160	1	HPMEPLIM_01664	0	53	0	271	1
FDFCGALF_01917_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	Thermococcus_aegaeus_DSM_12767	11780	-	1404755	1404887	0		0	0	0	132	3
FDFCGALF_01917_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	Thermococcus_alcaliphilus_DSM_10322	11782	+	687469	687628	0		0	0	0	159	2
FDFCGALF_02150_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	+	865655	865760	0		0	0	0	105	2
FDFCGALF_02150_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	-	1920029	1920134	0		0	0	0	105	1
HGKANDNA_01718_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	Thermococcus_stetteri_DSM_5262	11785	+	201083	201188	1	ACBJCPJC_00209	0	0	14	91	2
HGKANDNA_01718_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	GCA_000009965@Thermococcus_kodakarensis_KOD1	NC_006624	-	1159471	1159612	1	DKCGPBOD_01339	0	0	11	130	1
HGKANDNA_01718_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	GCA_028471865@Thermococcus_kodakarensis_TS901	NZ_CP116886	-	1153699	1153840	1	KNEHCMDO_01336	0	0	11	130	1
HGKANDNA_01718_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	GCA_028471785@Thermococcus_kodakarensis_TS900	NZ_CP116885	-	1157077	1157218	1	IBPOIFOJ_01337	0	0	11	130	1
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_AMTc09	12160	-	1890323	1890497	0		0	0	0	174	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_AMTc102	11786	+	497782	497956	0		0	0	0	174	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_26_2	8824	+	1939463	1939637	0		0	0	0	174	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	-	1408126	1408273	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_marinus_DSM_15227	11784	-	292285	292432	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_002214505@Thermococcus_siculi_RG_20	NZ_CP015103	-	1543954	1544098	0		0	0	0	144	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_000265525@Thermococcus_cleftensis_CL1	NC_018015	+	1907576	1907732	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_IRI_06c	12654	-	709323	709479	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_IRI15c	11152	-	1031666	1031813	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI14c	11810	+	1498656	1498803	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI10c	11798	+	392543	392690	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI25c	11809	+	1496218	1496365	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI24c	11800	-	250271	250427	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI29c	11803	+	197232	197388	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI27c2	11807	+	197297	197453	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_904067545@Thermococcus_camini_IRI35c	NZ_LR881183	-	1032148	1032304	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_AMTc71	13480	-	443767	443947	0		0	0	0	180	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_AMTc72	13481	-	443768	443948	0		0	0	0	180	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	+	281933	282101	0		0	0	0	168	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_006274605@Thermococcus_indicus_IOH1	NZ_CP040846	-	1441949	1442162	0		0	0	0	213	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_23_2	7487	+	1711859	1712030	0		0	0	0	171	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_23_4	9793	-	1065193	1065364	0		0	0	0	171	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_002197185@Thermococcus_sp_5_4	NZ_CP021848	-	753107	753278	0		0	0	0	171	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_AMTc11	7483	-	2150408	2150564	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_002214465@Thermococcus_barossii_SHCK_94	NZ_CP015101	-	775436	775583	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_002214545@Thermococcus_thioreducens_OGL_20P	NZ_CP015105	-	1136714	1136858	0		0	0	0	144	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI_05c	8817	+	1110274	1110421	0		0	0	0	147	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_024707485@Thermococcus_sp_813A4	NZ_CP102602	+	516397	516553	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_coalescens_TS1	14020	-	1511708	1511885	0		0	0	0	177	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_DS1	7110	+	488852	489008	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_sp_IRI_33c	8820	-	2066205	2066361	0		0	0	0	156	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	Thermococcus_31_3	7489	+	1289435	1289603	0		0	0	0	168	2
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	GCA_000018365@Thermococcus_onnurineus_NA1	NC_011529	-	657320	657467	0		0	0	0	147	1
GMODMALF_00815_gene_mRNA	GCA_002197185@Thermococcus_sp_5_4	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	-	1685302	1685773	0		0	0	0	471	8
GMODMALF_00815_gene_mRNA	GCA_002197185@Thermococcus_sp_5_4	Thermococcus_31_3	7489	-	1318853	1319171	0		0	0	0	318	7
GMODMALF_00815_gene_mRNA	GCA_002197185@Thermococcus_sp_5_4	GCA_002214565@Thermococcus_radiotolerans_EJ2	NZ_CP015106	-	452216	452696	0		0	0	0	480	1
