denovo	genome	contig	start	end	strand
EFDKJKPG_02040_gene_mRNA	Thermococcus_sp_AMTc79	11778	1797852	1798007	-
EGODEMLK_00126_gene_mRNA	Thermococcus_sp_E15p33	8816	100338	100745	+
EGODEMLK_01592_gene_mRNA	Thermococcus_sp_E15p33	8816	1404780	1404989	-
FDFCGALF_00036_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	36380	36577	+
FDFCGALF_01644_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	1433822	1434346	-
FDFCGALF_01917_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	1686760	1687008	+
FDFCGALF_02150_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	1895743	1895937	-
GCEEKKGH_00611_gene_mRNA	GCA_000265525@Thermococcus_cleftensis_CL1	NC_018015	542071	542241	+
GDFJICBN_01038_gene_mRNA	Pyrococcus_sp_EXT_15c	8813	942282	942491	-
GFJMONNO_00169_gene_mRNA	Thermococcus_AMTc11	7483	164529	165098	-
GFJMONNO_00541_gene_mRNA	Thermococcus_AMTc11	7483	486208	486522	+
GHGJAMGE_02025_gene_mRNA	Thermococcus_sp_CIR_10a	8818	1794626	1794742	-
GHGJAMGE_02380_gene_mRNA	Thermococcus_sp_CIR_10a	8818	2064155	2064298	+
GKAADPKM_02166_gene_mRNA	Thermococcus_sp_E10P8	11801	1927988	1928197	+
GMODMALF_00815_gene_mRNA	GCA_002197185@Thermococcus_sp_5_4	NZ_CP021848	723746	724225	+
GNDPMMCP_02166_gene_mRNA	Thermococcus_sp_E10P11	11811	1927988	1928197	+
HCEHDMML_01191_gene_mRNA	GCA_002214605@Thermococcus_chitonophagus	NZ_CP015193	1037502	1037657	+
HGJLAOHP_00498_gene_mRNA	Thermococcus_AMTc85	10774	420903	421118	+
HGJLAOHP_00695_gene_mRNA	Thermococcus_AMTc85	10774	601468	601653	-
HGKANDNA_01718_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	1571962	1572108	-
HKFOCBLP_00592_gene_mRNA	Thermococcus_alcaliphilus_DSM_10322	11782	530159	530371	-
HPMEPLIM_01176_gene_mRNA	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	1037847	1038074	-
IONHLECP_01767_gene_mRNA	Thermococcus_marinus_DSM_15227	11784	1603613	1603747	-
JNEHKGLE_01179_gene_mRNA	Thermococcus_sp_9_3	9794	1020935	1021144	-
JNEHKGLE_01192_gene_mRNA	Thermococcus_sp_9_3	9794	1036658	1037017	+
KGGIBHBC_01519_gene_mRNA	Pyrococcus_EXT16	7485	1333397	1333528	-
KLPMFDKH_00748_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	662751	662867	+
KOPGNMII_00670_gene_mRNA	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000005	156386	156835	-
LBEMKAPA_01754_gene_mRNA	GCA_002214385@Thermococcus_gorgonarius_W_12	NZ_CP014855	1534609	1534782	+
LHBEBFMA_01371_gene_mRNA	GCA_900198835@Thermococcus_henrietii_EXT12c	NZ_LT900021	1217854	1218063	+
LHBEBFMA_01401_gene_mRNA	GCA_900198835@Thermococcus_henrietii_EXT12c	NZ_LT900021	1250287	1250841	-
LPGJLMGN_02261_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	NZ_CP013050	1996588	1996722	-
OKCMFDEG_00691_gene_mRNA	Thermococcus_EXT11c	11137	594571	594744	+
ONHDGIGB_01003_gene_mRNA	Thermococcus_29_3	7513	879211	879420	-
OPFPOKDM_00301_gene_mRNA	Pyrococcus_31_3	7490	297920	298027	+
OPFPOKDM_00554_gene_mRNA	Pyrococcus_31_3	7490	531872	532027	+
PBMLHHBH_01917_gene_mRNA	Thermococcus_waiotapuensis_WT1	14024	1682139	1682354	+
PBPJMCNB_00743_gene_mRNA	GCA_006274605@Thermococcus_indicus_IOH1	NZ_CP040846	670304	670636	-
PBPJMCNB_01075_gene_mRNA	GCA_006274605@Thermococcus_indicus_IOH1	NZ_CP040846	983925	984278	+
PCHKGBCN_01343_gene_mRNA	Thermococcus_AMTc51	10770	1229409	1229597	+
PDKJIDNC_00363_gene_mRNA	Thermococcus_E15P35	10971	328103	328312	-
PPKIDKBL_00710_gene_mRNA	GCA_900012635@Thermococcus_chitonophagus_isolate_1	NZ_LN999010	650178	650333	-
