denovo	genome	contig	start	end	strand
EDCHFHLE_00867_gene_mRNA	Pyrococcus_sp_32_3	8815	717341	717421	-
LGNMEAEL_02216_gene_mRNA	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	1970541	1970642	+
KLPMFDKH_01943_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1707669	1707791	+
FOFBPMIL_01738_gene_mRNA	Thermococcus_barophilus_CH1	4059	1572676	1572879	+
LBKKHDLG_02022_gene_mRNA	Thermococcus_sp_DS1	7110	1751347	1751430	+
BFHCEGCA_00679_gene_mRNA	GCA_904067545@Thermococcus_camini_IRI35c	NZ_LR881183	634138	634302	+
HGKANDNA_00447_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	424338	424541	+
HPMEPLIM_00906_gene_mRNA	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	798184	798339	+
EEHIGLKK_00126_gene_mRNA	Thermococcus_sp_33_3	8825	121560	121733	-
LAJHHDHE_00587_gene_mRNA	GCA_000258515@Thermococcus_zilligii_AN1	NZ_AJLF01000001	552028	552126	+
DBJFJDPB_01532_gene_mRNA	Thermococcus_AMTc30	10769	1395733	1396203	-
EDCHFHLE_00518_gene_mRNA	Pyrococcus_sp_32_3	8815	447212	447328	+
IOIKJFFK_01357_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	NC_012804	1249602	1249745	-
EGODEMLK_01335_gene_mRNA	Thermococcus_sp_E15p33	8816	1176561	1176713	+
GHGJAMGE_01361_gene_mRNA	Thermococcus_sp_CIR_10a	8818	1211132	1211254	-
ADNHAJGI_02026_gene_mRNA	Pyrococcus_32_1	7495	1811925	1812035	+
JKCEONJL_01421_gene_mRNA	Thermococcus_aegaeus_DSM_12767	11780	1293200	1293298	+
LHBEBFMA_01203_gene_mRNA	GCA_900198835@Thermococcus_henrietii_EXT12c	NZ_LT900021	1074194	1074289	+
BCEBDJIJ_00756_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	NC_003413	728465	728557	+
LBKKHDLG_00914_gene_mRNA	Thermococcus_sp_DS1	7110	797607	797792	+
DKCGPBOD_00839_gene_mRNA	GCA_000009965@Thermococcus_kodakarensis_KOD1	NC_006624	718136	718255	-
AFABOCMA_00991_gene_mRNA	Thermococcus_coalescens_TS1	14020	884303	884554	-
IONHLECP_01350_gene_mRNA	Thermococcus_marinus_DSM_15227	11784	1192827	1192976	+
FOMOJKPC_00710_gene_mRNA	Pyrococcus_endeavori_ES4	4064	683722	683973	-
IOIKJFFK_00463_gene_mRNA	GCA_000022365@Thermococcus_gammatolerans_EJ3	NC_012804	443699	443965	+
ANCILGIH_01668_gene_mRNA	Pyrococcus_sp_32_4	8823	1528881	1528961	+
DKLHHBAG_02012_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	1765676	1765765	+
BEODAGIL_00388_gene_mRNA	Thermococcus_sp_TPV	7510	356999	357184	+
GFJMONNO_02308_gene_mRNA	Thermococcus_AMTc11	7483	2085247	2085384	-
JKCEONJL_00383_gene_mRNA	Thermococcus_aegaeus_DSM_12767	11780	330918	331076	+
OPFPOKDM_01629_gene_mRNA	Pyrococcus_31_3	7490	1431101	1431181	-
FDFCGALF_00842_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	734280	734435	-
DHDBELCC_01569_gene_mRNA	GCA_023746595@Thermococcus_argininiproducens_IOH2	NZ_CP080572	1470358	1470444	+
IAOIMLBH_01370_gene_mRNA	GCA_002214545@Thermococcus_thioreducens_OGL_20P	NZ_CP015105	1228239	1228361	+
KGGIBHBC_00992_gene_mRNA	Pyrococcus_EXT16	7485	866913	867059	-
JNEHKGLE_01769_gene_mRNA	Thermococcus_sp_9_3	9794	1553319	1553519	+
HGDGAMDH_00213_gene_mRNA	GCA_002214485@Thermococcus_pacificus_P4	NZ_CP015102	179031	179237	+
IONHLECP_02284_gene_mRNA	Thermococcus_marinus_DSM_15227	11784	2038659	2038847	+
LPGJLMGN_01998_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	NZ_CP013050	1746813	1746896	-
FOFBPMIL_01481_gene_mRNA	Thermococcus_barophilus_CH1	4059	1319834	1319917	+
GHGJAMGE_00458_gene_mRNA	Thermococcus_sp_CIR_10a	8818	413822	413923	+
LGNMEAEL_00989_gene_mRNA	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	885671	885868	-
BEODAGIL_00145_gene_mRNA	Thermococcus_sp_TPV	7510	120020	120196	+
IAOIMLBH_00023_gene_mRNA	GCA_002214545@Thermococcus_thioreducens_OGL_20P	NZ_CP015105	26848	27093	+
PPKIDKBL_01485_gene_mRNA	GCA_900012635@Thermococcus_chitonophagus_isolate_1	NZ_LN999010	1344506	1344703	+
KMOELFFF_00874_gene_mRNA	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	823833	823982	-
FOFBPMIL_00102_gene_mRNA	Thermococcus_barophilus_CH1	4059	75263	75415	-
LGNMEAEL_02176_gene_mRNA	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	1936088	1936240	-
ANCILGIH_00951_gene_mRNA	Pyrococcus_sp_32_4	8823	871943	872149	+
BICEADNH_01532_gene_mRNA	Thermococcus_sp_IRI10c	11798	1401545	1401694	+
BFHCEGCA_00089_gene_mRNA	GCA_904067545@Thermococcus_camini_IRI35c	NZ_LR881183	89004	89153	-
