	n_trg	n_cds	n_intergenic	n_f1	n_f2
GCA_002214485@Thermococcus_pacificus_P4	47	777	14	405	581
GCA_002214505@Thermococcus_siculi_RG_20	51	774	22	383	589
GCA_002214525@Thermococcus_sp_P6	26	688	6	317	482
GCA_002214545@Thermococcus_thioreducens_OGL_20P	84	824	18	398	586
GCA_002214565@Thermococcus_radiotolerans_EJ2	38	755	16	351	555
GCA_002214585@Thermococcus_profundus_DT_5432	53	790	26	459	610
GCA_002214605@Thermococcus_chitonophagus	19	759	1	224	380
GCA_006274605@Thermococcus_indicus_IOH1	74	834	16	387	603
GCA_008152015@Thermococcus_aciditolerans_SY113	88	826	16	380	599
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	20	739	1	198	323
GCA_020386975@Thermococcus_bergensis_T7324	10	715	2	264	402
GCA_023746595@Thermococcus_argininiproducens_IOH2	20	741	1	182	284
GCA_024022995@Thermococcus_aggregans_TY	16	731	3	253	375
GCA_024707485@Thermococcus_sp_813A4	63	797	16	374	578
GCA_028471785@Thermococcus_kodakarensis_TS900	212	1000	559	1000	1000
GCA_028471865@Thermococcus_kodakarensis_TS901	210	1000	556	1000	1000
GCA_035621495@Thermococcus_sp_SY098	37	789	2	265	360
GCA_900012635@Thermococcus_chitonophagus_isolate_1	19	763	1	225	383
GCA_900198835@Thermococcus_henrietii_EXT12c	72	820	21	391	617
GCA_902813195@Thermococcus_sp_2319x1_Essen	18	760	4	292	434
GCA_904067545@Thermococcus_camini_IRI35c	74	798	17	384	571
Palaeococcus_helgesoni_DSM_15127	19	756	1	225	379
Pyrococcus_31_3	19	769	1	220	375
Pyrococcus_32_1	19	768	1	219	374
Pyrococcus_abyssi_GE2	17	747	2	222	356
Pyrococcus_endeavori_ES4	17	723	1	213	337
Pyrococcus_EXT16	26	777	1	220	385
Pyrococcus_sp_32_3	19	769	1	220	375
Pyrococcus_sp_32_4	19	768	1	219	374
Pyrococcus_sp_EXT_15c	26	742	2	221	364
Pyrococcus_sp_GE_23	16	726	2	222	359
Pyrococcus_sp_IRI_42C	20	723	4	167	284
Thermococcus_15_2	46	767	11	338	561
Thermococcus_23_2	40	744	15	352	555
Thermococcus_29_3	66	806	13	382	601
Thermococcus_31_3	57	794	13	351	561
Thermococcus_aegaeus_DSM_12767	12	747	2	230	362
Thermococcus_aggregans_DSM_12819	15	736	3	253	376
Thermococcus_alcaliphilus_DSM_10322	14	747	3	259	384
Thermococcus_AMTc11	104	863	15	394	621
Thermococcus_AMTc30	61	788	16	385	580
Thermococcus_AMTc51	54	793	16	395	578
Thermococcus_AMTc85	72	790	17	390	585
Thermococcus_atlanticus_DSM_15226	43	796	4	337	507
Thermococcus_barophilus_423_3_23	20	767	3	247	371
Thermococcus_barophilus_CH1	29	798	2	251	366
Thermococcus_barophilus_DT4	31	764	1	248	360
Thermococcus_coalescens_TS1	54	798	20	366	578
Thermococcus_E15P35	74	820	15	402	611
Thermococcus_EXT11c	61	782	15	390	585
Thermococcus_fumicolans_ST557	68	805	16	339	562
Thermococcus_IRI_06c	80	812	16	379	611
Thermococcus_IRI15c	73	801	13	393	567
Thermococcus_marinus_DSM_15227	85	861	19	427	639
Thermococcus_prieuri_Col3	63	789	11	347	581
Thermococcus_profundus_DSM_9503	53	792	22	461	610
Thermococcus_sp_23_4	39	746	14	353	556
Thermococcus_sp_26_2	78	819	15	375	610
Thermococcus_sp_33_3	75	814	15	389	607
Thermococcus_sp_9_3	83	822	15	400	616
Thermococcus_sp_AMTc09	78	821	15	379	613
Thermococcus_sp_AMTc102	73	814	13	371	610
Thermococcus_sp_AMTc71	54	781	13	353	560
Thermococcus_sp_AMTc72	54	781	13	353	560
Thermococcus_sp_AMTc79	70	810	14	397	618
Thermococcus_sp_AMTc94	68	821	15	394	619
Thermococcus_sp_CIR_03a	55	801	12	376	590
Thermococcus_sp_CIR_10a	40	809	2	267	380
Thermococcus_sp_DS1	67	796	13	378	578
Thermococcus_sp_E10P11	73	817	16	393	611
Thermococcus_sp_E10P8	73	817	16	393	611
Thermococcus_sp_E15p33	73	821	15	403	612
Thermococcus_sp_EXT09c	78	819	18	396	593
Thermococcus_sp_IRI_05c	60	804	18	390	568
Thermococcus_sp_IRI10c	73	802	14	396	568
Thermococcus_sp_IRI14c	74	801	14	393	567
Thermococcus_sp_IRI24c	75	797	12	390	582
Thermococcus_sp_IRI25c	75	800	14	392	568
Thermococcus_sp_IRI27c2	75	797	12	390	582
Thermococcus_sp_IRI29c	75	797	12	390	582
Thermococcus_sp_IRI_33c	74	804	13	383	581
Thermococcus_sp_TPV	77	835	21	402	612
Thermococcus_sp_unknown	70	807	16	403	596
Thermococcus_stetteri_DSM_5262	71	830	102	696	743
Thermococcus_waiotapuensis_WT1	42	764	14	390	538
