	n_trg	n_cds	n_intergenic	n_f1	n_f2
GCA_900198835@Thermococcus_henrietii_EXT12c	33	781	4	143	296
GCA_902813195@Thermococcus_sp_2319x1_Essen	18	737	6	375	442
GCA_904067545@Thermococcus_camini_IRI35c	25	755	10	179	329
Palaeococcus_helgesoni_DSM_15127	21	756	1	337	426
Pyrococcus_31_3	20	760	0	242	347
Pyrococcus_32_1	20	760	0	241	346
Pyrococcus_abyssi_GE2	21	741	1	209	303
Pyrococcus_endeavori_ES4	12	724	0	255	327
Pyrococcus_EXT16	20	769	0	236	338
Pyrococcus_sp_32_3	20	760	0	242	347
Pyrococcus_sp_32_4	20	760	0	241	346
Pyrococcus_sp_EXT_15c	28	752	1	243	346
Pyrococcus_sp_GE_23	19	740	0	223	309
Pyrococcus_sp_IRI_42C	16	750	2	244	324
Thermococcus_15_2	33	742	1	152	324
Thermococcus_23_2	21	753	1	152	327
Thermococcus_29_3	30	759	5	143	304
Thermococcus_31_3	32	770	2	179	351
Thermococcus_aegaeus_DSM_12767	19	756	6	400	465
Thermococcus_aggregans_DSM_12819	19	749	2	371	452
Thermococcus_alcaliphilus_DSM_10322	20	768	6	417	497
Thermococcus_AMTc11	46	822	3	198	368
Thermococcus_AMTc30	27	756	4	157	282
Thermococcus_AMTc51	29	779	3	153	314
Thermococcus_AMTc85	38	760	3	146	299
Thermococcus_atlanticus_DSM_15226	53	833	13	351	478
Thermococcus_barophilus_423_3_23	61	857	261	755	761
Thermococcus_barophilus_CH1	93	891	366	798	804
Thermococcus_barophilus_DT4	76	830	88	683	700
Thermococcus_coalescens_TS1	32	787	3	192	367
Thermococcus_E15P35	37	765	4	139	311
Thermococcus_EXT11c	29	748	1	160	305
Thermococcus_fumicolans_ST557	41	763	4	121	297
Thermococcus_IRI_06c	34	760	5	148	335
Thermococcus_IRI15c	31	755	6	167	323
Thermococcus_marinus_DSM_15227	29	772	4	172	328
Thermococcus_prieuri_Col3	41	752	1	152	312
Thermococcus_profundus_DSM_9503	22	732	2	158	301
Thermococcus_sp_23_4	21	753	1	152	327
Thermococcus_sp_26_2	27	748	4	129	307
Thermococcus_sp_33_3	38	768	4	138	298
Thermococcus_sp_9_3	37	763	5	152	301
Thermococcus_sp_AMTc09	29	744	4	131	307
Thermococcus_sp_AMTc102	23	746	4	137	309
Thermococcus_sp_AMTc71	27	758	1	150	303
Thermococcus_sp_AMTc72	27	758	1	150	303
Thermococcus_sp_AMTc79	32	768	3	143	314
Thermococcus_sp_AMTc94	31	760	3	144	307
Thermococcus_sp_CIR_03a	42	807	4	195	340
Thermococcus_sp_CIR_10a	86	891	234	782	791
Thermococcus_sp_DS1	44	796	3	220	389
Thermococcus_sp_E10P11	36	757	2	136	296
Thermococcus_sp_E10P8	36	757	2	136	296
Thermococcus_sp_E15p33	36	762	4	139	309
Thermococcus_sp_EXT09c	35	757	2	152	296
Thermococcus_sp_IRI_05c	38	792	7	231	414
Thermococcus_sp_IRI10c	32	754	5	166	322
Thermococcus_sp_IRI14c	32	756	6	167	324
Thermococcus_sp_IRI24c	33	761	6	161	329
Thermococcus_sp_IRI25c	33	758	6	169	326
Thermococcus_sp_IRI27c2	33	761	6	160	328
Thermococcus_sp_IRI29c	33	761	6	160	328
Thermococcus_sp_IRI_33c	51	799	2	219	389
Thermococcus_sp_TPV	33	777	5	146	301
Thermococcus_sp_unknown	32	765	3	161	305
Thermococcus_stetteri_DSM_5262	32	759	3	183	326
Thermococcus_waiotapuensis_WT1	28	699	1	169	280
