denovo	outgroup	neighbor_sp	qcov	qcov_orf
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_fumicolans_ST557	58	50.0
BCEBDJIJ_00768_gene_mRNA	before_last	GCA_000215995@Pyrococcus_yayanosii_CH1	72	50.0
DKCGPBOD_00839_gene_mRNA	last	Thermococcus_stetteri_DSM_5262	73	67.5
DKCGPBOD_00839_gene_mRNA	before_last	GCA_001592435@Thermococcus_peptonophilus_OG_1	98	92.5
IOIKJFFK_00291_gene_mRNA	last	Thermococcus_fumicolans_ST557	82	79.45205479452055
IOIKJFFK_00291_gene_mRNA	last	Thermococcus_profundus_DSM_9503	79	71.23287671232876
IOIKJFFK_00291_gene_mRNA	last	GCA_002214385@Thermococcus_gorgonarius_W_12	84	65.75342465753424
IOIKJFFK_00291_gene_mRNA	last	Thermococcus_waiotapuensis_WT1	84	65.75342465753424
IOIKJFFK_00291_gene_mRNA	last	GCA_000258515@Thermococcus_zilligii_AN1	84	65.75342465753424
IOIKJFFK_00291_gene_mRNA	before_last	GCA_000816105@Thermococcus_guaymasensis_DSM_11113	79	47.94520547945205
IOIKJFFK_00463_gene_mRNA	last	Thermococcus_sp_IRI_05c	75	53.93258426966292
IOIKJFFK_00463_gene_mRNA	last	GCA_002214545@Thermococcus_thioreducens_OGL_20P	75	53.93258426966292
IOIKJFFK_00463_gene_mRNA	last	Thermococcus_sp_CIR_03a	99	82.02247191011236
IOIKJFFK_00463_gene_mRNA	before_last	GCA_006274605@Thermococcus_indicus_IOH1	91	74.15730337078652
IOIKJFFK_00463_gene_mRNA	before_last	GCA_904067545@Thermococcus_camini_IRI35c	98	95.50561797752809
IOIKJFFK_00463_gene_mRNA	before_last	Thermococcus_sp_IRI25c	100	97.75280898876404
IOIKJFFK_00463_gene_mRNA	before_last	Thermococcus_sp_IRI10c	100	97.75280898876404
IOIKJFFK_00463_gene_mRNA	before_last	Thermococcus_sp_IRI14c	100	97.75280898876404
IOIKJFFK_00463_gene_mRNA	before_last	Thermococcus_IRI15c	100	97.75280898876404
IOIKJFFK_01357_gene_mRNA	last	GCA_000816105@Thermococcus_guaymasensis_DSM_11113	73	68.75
IOIKJFFK_01357_gene_mRNA	before_last	GCA_000151205@Thermococcus_sp_AM4	83	79.16666666666666
MLLJDAHJ_00262_gene_mRNA	last	Thermococcus_barophilus_DT4	98	94.11764705882352
MLLJDAHJ_00262_gene_mRNA	last	GCA_000517445@Thermococcus_paralvinellae_ES1	98	94.11764705882352
MLLJDAHJ_00262_gene_mRNA	before_last	Thermococcus_sp_CIR_10a	100	96.07843137254902
MLLJDAHJ_00262_gene_mRNA	before_last	Thermococcus_barophilus_423_3_23	100	96.07843137254902
FKEJDOMN_00259_gene_mRNA	last	Pyrococcus_sp_GE_23	100	95.74468085106383
FKEJDOMN_00259_gene_mRNA	before_last	Pyrococcus_abyssi_GE2	100	95.74468085106383
DKLHHBAG_02012_gene_mRNA	last	Thermococcus_aggregans_DSM_12819	83	66.66666666666666
DKLHHBAG_02012_gene_mRNA	last	GCA_024022995@Thermococcus_aggregans_TY	83	66.66666666666666
DKLHHBAG_02012_gene_mRNA	before_last	GCA_020386975@Thermococcus_bergensis_T7324	100	93.33333333333333
LAJHHDHE_00197_gene_mRNA	last	Thermococcus_fumicolans_ST557	91	83.33333333333334
LAJHHDHE_00197_gene_mRNA	before_last	GCA_002214385@Thermococcus_gorgonarius_W_12	81	77.77777777777779
LAJHHDHE_00587_gene_mRNA	last	GCA_002214385@Thermococcus_gorgonarius_W_12	82	75.75757575757575
LAJHHDHE_00587_gene_mRNA	before_last	Thermococcus_waiotapuensis_WT1	82	75.75757575757575
GCEEKKGH_00611_gene_mRNA	last	GCA_001647085@Thermococcus_piezophilus_CDGS	67	63.1578947368421
GCEEKKGH_00611_gene_mRNA	before_last	Thermococcus_sp_IRI_33c	58	54.385964912280706
GCEEKKGH_00611_gene_mRNA	before_last	Thermococcus_sp_DS1	58	54.385964912280706
GCEEKKGH_00611_gene_mRNA	before_last	GCA_024707485@Thermococcus_sp_813A4	56	52.63157894736842
EDEBIHJP_00546_gene_mRNA	last	GCA_000007305@Pyrococcus_furiosus_DSM_3638	100	93.54838709677419
EDEBIHJP_00546_gene_mRNA	before_last	GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	100	93.54838709677419
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_barophilus_423_3_23	77	21.09375
EDEBIHJP_00574_gene_mRNA	last	GCA_035621495@Thermococcus_sp_SY098	78	30.46875
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_barophilus_CH1	72	50.0
EDEBIHJP_00574_gene_mRNA	last	GCA_001433455@Thermococcus_barophilus_CH5	72	50.0
EDEBIHJP_00574_gene_mRNA	last	GCA_000151105@Thermococcus_barophilus_MP	72	50.0
EDEBIHJP_00574_gene_mRNA	last	GCA_023746595@Thermococcus_argininiproducens_IOH2	100	65.625
EDEBIHJP_00574_gene_mRNA	last	GCA_000022545@Thermococcus_sibiricus_MM_739	93	70.3125
EDEBIHJP_00574_gene_mRNA	last	GCA_020386975@Thermococcus_bergensis_T7324	77	52.34375
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_aegaeus_DSM_12767	100	71.875
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_alcaliphilus_DSM_10322	99	71.09375
EDEBIHJP_00574_gene_mRNA	last	GCA_000246985@Thermococcus_litoralis_DSM_5473	99	71.875
EDEBIHJP_00574_gene_mRNA	last	GCA_000725425@Palaeococcus_pacificus_DY20341	93	70.3125
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_atlanticus_DSM_15226	78	50.0
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_31_3	68	50.0
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_coalescens_TS1	68	50.0
EDEBIHJP_00574_gene_mRNA	last	GCA_024707485@Thermococcus_sp_813A4	90	34.375
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_sp_IRI_05c	90	71.875
EDEBIHJP_00574_gene_mRNA	last	GCA_002214545@Thermococcus_thioreducens_OGL_20P	90	71.875
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_sp_CIR_03a	90	30.46875
EDEBIHJP_00574_gene_mRNA	last	GCA_008152015@Thermococcus_aciditolerans_SY113	91	42.1875
EDEBIHJP_00574_gene_mRNA	last	GCA_001592435@Thermococcus_peptonophilus_OG_1	90	40.625
EDEBIHJP_00574_gene_mRNA	last	Thermococcus_fumicolans_ST557	58	50.0
EDEBIHJP_00574_gene_mRNA	before_last	GCA_000215995@Pyrococcus_yayanosii_CH1	72	50.0
AMHJKFND_00757_gene_mRNA	last	GCA_008152015@Thermococcus_aciditolerans_SY113	62	38.333333333333336
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_sp_TPV	62	60.0
AMHJKFND_00757_gene_mRNA	before_last	GCA_900198835@Thermococcus_henrietii_EXT12c	100	67.5
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_sp_unknown	98	67.5
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_AMTc51	100	67.5
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_sp_EXT09c	100	98.33333333333333
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_EXT11c	100	67.5
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_AMTc85	100	67.5
AMHJKFND_00757_gene_mRNA	before_last	Thermococcus_AMTc30	100	67.5
KMOELFFF_00397_gene_mRNA	last	GCA_000265525@Thermococcus_cleftensis_CL1	100	91.11111111111111
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_TPV	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	GCA_900198835@Thermococcus_henrietii_EXT12c	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_EXT09c	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_EXT11c	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_26_2	98	84.44444444444444
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_AMTc102	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_AMTc09	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_E10P8	100	88.88888888888889
KMOELFFF_00397_gene_mRNA	before_last	Thermococcus_sp_E10P11	100	88.88888888888889
KMOELFFF_00874_gene_mRNA	last	Thermococcus_31_3	92	88.0
KMOELFFF_00874_gene_mRNA	last	GCA_024707485@Thermococcus_sp_813A4	72	68.0
KMOELFFF_00874_gene_mRNA	last	GCA_002214465@Thermococcus_barossii_SHCK_94	74	70.0
KMOELFFF_00874_gene_mRNA	last	Thermococcus_AMTc11	76	72.0
KMOELFFF_00874_gene_mRNA	last	Thermococcus_sp_CIR_03a	50	46.0
KMOELFFF_00874_gene_mRNA	last	GCA_002214565@Thermococcus_radiotolerans_EJ2	76	72.0
KMOELFFF_00874_gene_mRNA	last	GCA_002197185@Thermococcus_sp_5_4	76	72.0
KMOELFFF_00874_gene_mRNA	last	Thermococcus_sp_23_4	76	72.0
KMOELFFF_00874_gene_mRNA	last	Thermococcus_23_2	76	72.0
KMOELFFF_00874_gene_mRNA	before_last	GCA_008152015@Thermococcus_aciditolerans_SY113	76	72.0
GMIOLJND_00985_gene_mRNA	last	Thermococcus_31_3	68	18.666666666666668
GMIOLJND_00985_gene_mRNA	before_last	Thermococcus_marinus_DSM_15227	95	92.0
GMIOLJND_00985_gene_mRNA	before_last	GCA_000769655@Thermococcus_eurythermalis_A501	95	92.0
LPGJLMGN_00309_gene_mRNA	last	Thermococcus_barophilus_DT4	98	94.11764705882352
LPGJLMGN_00309_gene_mRNA	last	GCA_000517445@Thermococcus_paralvinellae_ES1	98	94.11764705882352
LPGJLMGN_00309_gene_mRNA	before_last	Thermococcus_sp_CIR_10a	100	96.07843137254902
LPGJLMGN_00309_gene_mRNA	before_last	Thermococcus_barophilus_423_3_23	100	96.07843137254902
LPGJLMGN_01998_gene_mRNA	last	Thermococcus_barophilus_DT4	79	71.42857142857143
LPGJLMGN_01998_gene_mRNA	before_last	Thermococcus_sp_CIR_10a	96	89.28571428571429
LPGJLMGN_01998_gene_mRNA	before_last	Thermococcus_barophilus_423_3_23	89	82.14285714285714
LPGJLMGN_02261_gene_mRNA	last	Thermococcus_aggregans_DSM_12819	71	66.66666666666666
LPGJLMGN_02261_gene_mRNA	last	GCA_024022995@Thermococcus_aggregans_TY	71	66.66666666666666
LPGJLMGN_02261_gene_mRNA	last	GCA_902813195@Thermococcus_sp_2319x1_Essen	71	66.66666666666666
LPGJLMGN_02261_gene_mRNA	last	GCA_001484685@Thermococcus_sp_2319x1	71	66.66666666666666
LPGJLMGN_02261_gene_mRNA	last	Thermococcus_alcaliphilus_DSM_10322	71	66.66666666666666
LPGJLMGN_02261_gene_mRNA	last	GCA_000246985@Thermococcus_litoralis_DSM_5473	71	66.66666666666666
LPGJLMGN_02261_gene_mRNA	before_last	Thermococcus_barophilus_DT4	76	51.11111111111111
LPGJLMGN_02261_gene_mRNA	before_last	GCA_000517445@Thermococcus_paralvinellae_ES1	98	51.11111111111111
FDFCGALF_00036_gene_mRNA	last	GCA_000022365@Thermococcus_gammatolerans_EJ3	59	56.060606060606055
FDFCGALF_00036_gene_mRNA	before_last	Thermococcus_aggregans_DSM_12819	83	65.15151515151516
FDFCGALF_00036_gene_mRNA	before_last	GCA_024022995@Thermococcus_aggregans_TY	83	65.15151515151516
FDFCGALF_00842_gene_mRNA	last	GCA_000725425@Palaeococcus_pacificus_DY20341	94	90.38461538461539
FDFCGALF_00842_gene_mRNA	before_last	GCA_023746595@Thermococcus_argininiproducens_IOH2	50	46.15384615384615
FDFCGALF_00842_gene_mRNA	before_last	GCA_000022545@Thermococcus_sibiricus_MM_739	94	90.38461538461539
FDFCGALF_00977_gene_mRNA	last	GCA_028471785@Thermococcus_kodakarensis_TS900	77	68.31683168316832
FDFCGALF_00977_gene_mRNA	last	GCA_028471865@Thermococcus_kodakarensis_TS901	77	68.31683168316832
FDFCGALF_00977_gene_mRNA	last	GCA_000009965@Thermococcus_kodakarensis_KOD1	77	68.31683168316832
FDFCGALF_00977_gene_mRNA	before_last	GCA_902813195@Thermococcus_sp_2319x1_Essen	82	80.19801980198021
FDFCGALF_01644_gene_mRNA	last	GCA_000246985@Thermococcus_litoralis_DSM_5473	85	20.0
FDFCGALF_01644_gene_mRNA	before_last	GCA_902813195@Thermococcus_sp_2319x1_Essen	62	49.714285714285715
FDFCGALF_01917_gene_mRNA	last	Thermococcus_aegaeus_DSM_12767	53	50.602409638554214
FDFCGALF_01917_gene_mRNA	before_last	Thermococcus_alcaliphilus_DSM_10322	64	61.44578313253012
FDFCGALF_02150_gene_mRNA	last	GCA_000246985@Thermococcus_litoralis_DSM_5473	54	50.76923076923077
FDFCGALF_02150_gene_mRNA	before_last	GCA_902813195@Thermococcus_sp_2319x1_Essen	54	50.76923076923077
HGKANDNA_00447_gene_mRNA	last	GCA_002214545@Thermococcus_thioreducens_OGL_20P	94	82.35294117647058
HGKANDNA_00447_gene_mRNA	before_last	Thermococcus_IRI_06c	94	82.35294117647058
HGKANDNA_01424_gene_mRNA	last	GCA_035621495@Thermococcus_sp_SY098	98	69.64285714285714
HGKANDNA_01424_gene_mRNA	last	Thermococcus_barophilus_CH1	98	69.64285714285714
HGKANDNA_01424_gene_mRNA	last	GCA_000151105@Thermococcus_barophilus_MP	98	69.64285714285714
HGKANDNA_01424_gene_mRNA	last	Thermococcus_aggregans_DSM_12819	98	85.71428571428571
HGKANDNA_01424_gene_mRNA	last	GCA_024022995@Thermococcus_aggregans_TY	98	85.71428571428571
HGKANDNA_01424_gene_mRNA	last	GCA_020386975@Thermococcus_bergensis_T7324	89	60.71428571428571
HGKANDNA_01424_gene_mRNA	last	Thermococcus_aegaeus_DSM_12767	98	83.92857142857143
HGKANDNA_01424_gene_mRNA	last	Thermococcus_alcaliphilus_DSM_10322	98	69.64285714285714
HGKANDNA_01424_gene_mRNA	before_last	Thermococcus_coalescens_TS1	89	85.71428571428571
HGKANDNA_01718_gene_mRNA	last	Thermococcus_stetteri_DSM_5262	71	67.3469387755102
HGKANDNA_01718_gene_mRNA	before_last	GCA_028471785@Thermococcus_kodakarensis_TS900	98	55.10204081632652
HGKANDNA_01718_gene_mRNA	before_last	GCA_028471865@Thermococcus_kodakarensis_TS901	98	55.10204081632652
HGKANDNA_01718_gene_mRNA	before_last	GCA_000009965@Thermococcus_kodakarensis_KOD1	98	55.10204081632652
DOACLEJL_00969_gene_mRNA	last	GCA_000215995@Pyrococcus_yayanosii_CH1	88	70.27027027027027
DOACLEJL_00969_gene_mRNA	last	GCA_001577775@Pyrococcus_kukulkanii_NCB100	92	89.1891891891892
DOACLEJL_00969_gene_mRNA	before_last	Thermococcus_barophilus_DT4	86	43.24324324324324
DOACLEJL_00969_gene_mRNA	before_last	GCA_000517445@Thermococcus_paralvinellae_ES1	86	43.24324324324324
DOACLEJL_00969_gene_mRNA	before_last	Thermococcus_sp_CIR_10a	86	43.24324324324324
DOACLEJL_00969_gene_mRNA	before_last	GCA_001433455@Thermococcus_barophilus_CH5	89	74.32432432432432
DOACLEJL_00969_gene_mRNA	before_last	GCA_020386975@Thermococcus_bergensis_T7324	91	86.48648648648648
DOACLEJL_02110_gene_mRNA	last	Thermococcus_31_3	73	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI_33c	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_DS1	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_coalescens_TS1	76	65.38461538461539
DOACLEJL_02110_gene_mRNA	last	GCA_024707485@Thermococcus_sp_813A4	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI_05c	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	GCA_002214545@Thermococcus_thioreducens_OGL_20P	62	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	GCA_002214465@Thermococcus_barossii_SHCK_94	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_AMTc11	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	GCA_002197185@Thermococcus_sp_5_4	73	70.51282051282051
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_23_4	73	70.51282051282051
DOACLEJL_02110_gene_mRNA	last	Thermococcus_23_2	73	70.51282051282051
DOACLEJL_02110_gene_mRNA	last	GCA_006274605@Thermococcus_indicus_IOH1	91	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	GCA_008152015@Thermococcus_aciditolerans_SY113	73	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_AMTc72	77	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_AMTc71	77	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	GCA_904067545@Thermococcus_camini_IRI35c	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI27c2	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI29c	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI24c	67	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI25c	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI10c	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_IRI14c	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_IRI15c	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_IRI_06c	67	64.1025641025641
DOACLEJL_02110_gene_mRNA	last	GCA_000265525@Thermococcus_cleftensis_CL1	67	64.1025641025641
DOACLEJL_02110_gene_mRNA	last	GCA_002214505@Thermococcus_siculi_RG_20	62	43.58974358974359
DOACLEJL_02110_gene_mRNA	last	Thermococcus_marinus_DSM_15227	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	GCA_000769655@Thermococcus_eurythermalis_A501	63	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_26_2	73	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_AMTc102	73	44.871794871794876
DOACLEJL_02110_gene_mRNA	last	Thermococcus_sp_AMTc09	73	44.871794871794876
DOACLEJL_02110_gene_mRNA	before_last	GCA_000018365@Thermococcus_onnurineus_NA1	63	44.871794871794876
GMODMALF_00815_gene_mRNA	last	GCA_000769655@Thermococcus_eurythermalis_A501	100	38.75
GMODMALF_00815_gene_mRNA	before_last	Thermococcus_31_3	66	31.874999999999996
LBEMKAPA_01754_gene_mRNA	last	GCA_002214545@Thermococcus_thioreducens_OGL_20P	52	48.275862068965516
LBEMKAPA_01754_gene_mRNA	before_last	GCA_006274605@Thermococcus_indicus_IOH1	52	29.310344827586203
LBEMKAPA_01754_gene_mRNA	before_last	Thermococcus_sp_AMTc72	52	48.275862068965516
LBEMKAPA_01754_gene_mRNA	before_last	Thermococcus_sp_AMTc71	52	48.275862068965516
OCJIHLOK_01858_gene_mRNA	last	GCA_006274605@Thermococcus_indicus_IOH1	89	80.0
OCJIHLOK_01858_gene_mRNA	last	GCA_008152015@Thermococcus_aciditolerans_SY113	89	80.0
OCJIHLOK_01858_gene_mRNA	last	GCA_000221185@Thermococcus_sp_4557	89	80.0
OCJIHLOK_01858_gene_mRNA	last	Thermococcus_sp_AMTc72	75	72.0
OCJIHLOK_01858_gene_mRNA	last	Thermococcus_sp_AMTc71	75	72.0
OCJIHLOK_01858_gene_mRNA	last	Thermococcus_sp_IRI27c2	69	69.33333333333334
OCJIHLOK_01858_gene_mRNA	last	Thermococcus_sp_IRI29c	69	69.33333333333334
OCJIHLOK_01858_gene_mRNA	last	Thermococcus_sp_IRI24c	69	69.33333333333334
OCJIHLOK_01858_gene_mRNA	before_last	Thermococcus_31_3	88	85.33333333333334
HGDGAMDH_00213_gene_mRNA	last	Thermococcus_barophilus_DT4	88	81.15942028985508
HGDGAMDH_00213_gene_mRNA	last	GCA_000517445@Thermococcus_paralvinellae_ES1	100	84.05797101449275
HGDGAMDH_00213_gene_mRNA	last	Thermococcus_sp_CIR_10a	83	78.26086956521739
HGDGAMDH_00213_gene_mRNA	last	Thermococcus_barophilus_423_3_23	83	78.26086956521739
HGDGAMDH_00213_gene_mRNA	last	GCA_035621495@Thermococcus_sp_SY098	88	65.21739130434783
HGDGAMDH_00213_gene_mRNA	last	Thermococcus_barophilus_CH1	88	81.15942028985508
HGDGAMDH_00213_gene_mRNA	last	GCA_001433455@Thermococcus_barophilus_CH5	88	81.15942028985508
HGDGAMDH_00213_gene_mRNA	last	GCA_000151105@Thermococcus_barophilus_MP	88	81.15942028985508
HGDGAMDH_00213_gene_mRNA	last	GCA_000022545@Thermococcus_sibiricus_MM_739	88	56.52173913043478
HGDGAMDH_00213_gene_mRNA	last	Thermococcus_aggregans_DSM_12819	86	60.86956521739131
HGDGAMDH_00213_gene_mRNA	last	GCA_024022995@Thermococcus_aggregans_TY	86	60.86956521739131
HGDGAMDH_00213_gene_mRNA	last	GCA_020386975@Thermococcus_bergensis_T7324	99	56.52173913043478
HGDGAMDH_00213_gene_mRNA	last	GCA_902813195@Thermococcus_sp_2319x1_Essen	100	50.72463768115942
HGDGAMDH_00213_gene_mRNA	last	GCA_001484685@Thermococcus_sp_2319x1	100	50.72463768115942
HGDGAMDH_00213_gene_mRNA	last	Thermococcus_alcaliphilus_DSM_10322	100	50.72463768115942
HGDGAMDH_00213_gene_mRNA	last	GCA_000246985@Thermococcus_litoralis_DSM_5473	100	50.72463768115942
HGDGAMDH_00213_gene_mRNA	before_last	GCA_000725425@Palaeococcus_pacificus_DY20341	94	91.30434782608695
CNPDMPNG_00739_gene_mRNA	last	GCA_000215995@Pyrococcus_yayanosii_CH1	96	50.0
CNPDMPNG_00739_gene_mRNA	last	GCA_000007305@Pyrococcus_furiosus_DSM_3638	87	43.47826086956522
CNPDMPNG_00739_gene_mRNA	last	GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	87	43.47826086956522
CNPDMPNG_00739_gene_mRNA	last	GCA_000275605@Pyrococcus_furiosus_COM1	87	43.47826086956522
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_sp_IRI_42C	58	27.173913043478258
CNPDMPNG_00739_gene_mRNA	last	GCA_000211475@Pyrococcus_sp_NA2	80	75.0
CNPDMPNG_00739_gene_mRNA	last	GCA_000011105@Pyrococcus_horikoshii_OT3	58	55.434782608695656
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_sp_GE_23	65	65.21739130434783
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_abyssi_GE2	65	65.21739130434783
CNPDMPNG_00739_gene_mRNA	last	GCA_000195935@Pyrococcus_abyssi_GE5	65	65.21739130434783
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_endeavori_ES4	78	44.565217391304344
CNPDMPNG_00739_gene_mRNA	last	GCA_000263735@Pyrococcus_sp_ST04	78	44.565217391304344
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_sp_EXT_15c	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	GCA_001577775@Pyrococcus_kukulkanii_NCB100	68	38.04347826086957
CNPDMPNG_00739_gene_mRNA	last	GCA_900012635@Thermococcus_chitonophagus_isolate_1	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	GCA_002214605@Thermococcus_chitonophagus	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_EXT16	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_32_1	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_sp_32_4	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_sp_32_3	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	last	Pyrococcus_31_3	67	35.869565217391305
CNPDMPNG_00739_gene_mRNA	before_last	Thermococcus_barophilus_DT4	59	50.0
CNPDMPNG_00739_gene_mRNA	before_last	GCA_000517445@Thermococcus_paralvinellae_ES1	86	88.04347826086956
CNPDMPNG_00739_gene_mRNA	before_last	Thermococcus_sp_CIR_10a	61	50.0
CNPDMPNG_00739_gene_mRNA	before_last	Thermococcus_barophilus_423_3_23	58	50.0
CNPDMPNG_00739_gene_mRNA	before_last	GCA_035621495@Thermococcus_sp_SY098	50	47.82608695652174
CNPDMPNG_00739_gene_mRNA	before_last	Thermococcus_barophilus_CH1	58	50.0
CNPDMPNG_00739_gene_mRNA	before_last	GCA_001433455@Thermococcus_barophilus_CH5	58	50.0
CNPDMPNG_00739_gene_mRNA	before_last	GCA_000151105@Thermococcus_barophilus_MP	58	50.0
CNPDMPNG_00739_gene_mRNA	before_last	GCA_023746595@Thermococcus_argininiproducens_IOH2	68	25.0
CNPDMPNG_00739_gene_mRNA	before_last	GCA_000022545@Thermococcus_sibiricus_MM_739	59	55.434782608695656
