genome	mean_intergenic_length
Pyrococcus_endeavori_ES4	107.14013266998342
Pyrococcus_EXT16	112.73068745570518
Pyrococcus_sp_32_3	111.37945492662473
Pyrococcus_sp_32_4	111.62911126662001
Pyrococcus_sp_EXT_15c	101.8181148748159
Pyrococcus_sp_GE_23	103.4317998385795
Pyrococcus_sp_IRI_42C	136.63353115727003
Thermococcus_15_2	98.96270718232044
Thermococcus_23_2	95.55714285714286
Thermococcus_29_3	110.32709030100334
Thermococcus_31_3	100.94372574385511
Thermococcus_aegaeus_DSM_12767	103.28844884488448
Thermococcus_aggregans_DSM_12819	113.67910936476751
Thermococcus_alcaliphilus_DSM_10322	98.7564870259481
Thermococcus_AMTc11	112.21755519655358
Thermococcus_AMTc30	104.96991978609626
Thermococcus_AMTc51	113.92364864864865
Thermococcus_AMTc85	104.40488771466315
Thermococcus_atlanticus_DSM_15226	115.77701149425287
Thermococcus_barophilus_423_3_23	99.71318822023048
Thermococcus_barophilus_CH1	98.78950471698113
Thermococcus_barophilus_DT4	104.87000596302921
Thermococcus_coalescens_TS1	109.38786436644854
Thermococcus_E15P35	104.41965973534971
Thermococcus_EXT11c	105.24525745257452
Thermococcus_fumicolans_ST557	100.7389659520807
Thermococcus_IRI_06c	115.53993993993994
Thermococcus_IRI15c	107.03138461538461
Thermococcus_marinus_DSM_15227	117.11894543225016
Thermococcus_prieuri_Col3	101.94719251336899
Thermococcus_profundus_DSM_9503	106.20051746442432
Thermococcus_sp_23_4	95.33537414965987
Thermococcus_sp_26_2	108.24041585445094
Thermococcus_sp_33_3	109.67847769028872
Thermococcus_sp_9_3	104.27903958468526
Thermococcus_sp_AMTc09	107.6647582697201
Thermococcus_sp_AMTc102	110.09009009009009
Thermococcus_sp_AMTc71	105.07932379713914
Thermococcus_sp_AMTc72	104.92207792207792
Thermococcus_sp_AMTc79	104.38297872340425
Thermococcus_sp_AMTc94	103.23970290344361
Thermococcus_sp_CIR_03a	103.13593380614657
Thermococcus_sp_CIR_10a	101.1870709382151
Thermococcus_sp_DS1	106.18150087260035
Thermococcus_sp_E10P11	107.93391773432232
Thermococcus_sp_E10P8	107.94605529332435
Thermococcus_sp_E15p33	101.96122059758423
Thermococcus_sp_EXT09c	100.43253968253968
Thermococcus_sp_IRI_05c	102.22288085358625
Thermococcus_sp_IRI10c	110.07359050445103
Thermococcus_sp_IRI14c	108.14978514426028
Thermococcus_sp_IRI24c	111.58520315342632
Thermococcus_sp_IRI25c	107.19707138499085
Thermococcus_sp_IRI27c2	110.3632504548211
Thermococcus_sp_IRI29c	110.46573681018799
Thermococcus_sp_IRI_33c	104.53097345132744
Thermococcus_sp_TPV	106.05134627426425
Thermococcus_sp_unknown	102.91042780748663
Thermococcus_stetteri_DSM_5262	125.1001799640072
Thermococcus_waiotapuensis_WT1	109.13256288239293
