cds bin
BEODAGIL_01411_gene_mRNA 0
GHGJAMGE_01034_gene_mRNA 0
PCHKGBCN_02005_gene_mRNA 0
EGODEMLK_01744_gene_mRNA 0
EDEBIHJP_00484_gene_mRNA 0
CEHDAOCF_01692_gene_mRNA 0
LFPLOHAD_01790_gene_mRNA 0
PJJLKOLC_00509_gene_mRNA 0
OFDLGCAF_00831_gene_mRNA 0
PDKJIDNC_02261_gene_mRNA 0
EDEBIHJP_00688_gene_mRNA 0
DBJFJDPB_00465_gene_mRNA 0
NEIFGDLC_00411_gene_mRNA 0
LBKKHDLG_02000_gene_mRNA 0
KOPGNMII_01141_gene_mRNA 0
GHPKADDI_01928_gene_mRNA 0
GCA_002214385@Thermococcus_gorgonarius_W_12_iorf_2640 0
GCA_000258515@Thermococcus_zilligii_AN1_iorf_6404 0
Thermococcus_aggregans_DSM_12819_iorf_382 0
GCA_000246985@Thermococcus_litoralis_DSM_5473_iorf_391 0
GCA_000246985@Thermococcus_litoralis_DSM_5473_iorf_3997 0
Thermococcus_AMTc85_iorf_4780 0
Thermococcus_barophilus_CH1_iorf_2236 0
GCA_028471785@Thermococcus_kodakarensis_TS900_iorf_4634 0
GCA_000215995@Pyrococcus_yayanosii_CH1_iorf_796 0
Thermococcus_EXT11c_iorf_5826 0
GCA_001484685@Thermococcus_sp_2319x1_iorf_7339 0
Thermococcus_sp_AMTc79_iorf_1573 0
GCA_000195935@Pyrococcus_abyssi_GE5_iorf_1403 0
Thermococcus_sp_AMTc72_iorf_2384 0
GCA_000221185@Thermococcus_sp_4557_iorf_1487 0
GCA_001484685@Thermococcus_sp_2319x1_iorf_7839 0
GCA_000211475@Pyrococcus_sp_NA2_iorf_2525 0
GCA_900198835@Thermococcus_henrietii_EXT12c_iorf_5851 0
Thermococcus_sp_AMTc09_iorf_780 0
Thermococcus_aggregans_DSM_12819_iorf_6494 0
GCA_001433455@Thermococcus_barophilus_CH5_iorf_4049 0
Thermococcus_15_2_iorf_4287 0
Pyrococcus_sp_IRI_42C_iorf_2804 0
Thermococcus_sp_E10P8_iorf_4426 0
GCA_000211475@Pyrococcus_sp_NA2_iorf_5624 0
GCA_023746595@Thermococcus_argininiproducens_IOH2_iorf_1479 0
GCA_001647085@Thermococcus_piezophilus_CDGS_iorf_170 0
GCA_028471785@Thermococcus_kodakarensis_TS900_iorf_3721 0
GCA_000007305@Pyrococcus_furiosus_DSM_3638_iorf_5607 0
Thermococcus_sp_E10P11_iorf_5583 0
GCA_001484685@Thermococcus_sp_2319x1_iorf_648 0
Thermococcus_coalescens_TS1_iorf_3224 0
GCA_000215995@Pyrococcus_yayanosii_CH1_iorf_2753 0
GCA_001592435@Thermococcus_peptonophilus_OG_1_iorf_3155 0
Thermococcus_sp_CIR_10a_iorf_7201 0
Thermococcus_sp_CIR_03a_iorf_2043 0
GCA_002214365@Thermococcus_celer_Vu_13_iorf_3032 0
GCA_002214385@Thermococcus_gorgonarius_W_12_iorf_1195 0
GCA_001484685@Thermococcus_sp_2319x1_iorf_5529 0
GCA_000246985@Thermococcus_litoralis_DSM_5473_iorf_2361 0
GCA_002214385@Thermococcus_gorgonarius_W_12_iorf_1197 0
GCA_001647085@Thermococcus_piezophilus_CDGS_iorf_869 0
GCA_902813195@Thermococcus_sp_2319x1_Essen_iorf_7550 0
Thermococcus_barophilus_DT4_iorf_5272 0
Thermococcus_coalescens_TS1_iorf_2994 0
GCA_024022995@Thermococcus_aggregans_TY_iorf_6560 0
GCA_028471865@Thermococcus_kodakarensis_TS901_iorf_1799 0
Pyrococcus_sp_32_3_iorf_479 0
GCA_024022995@Thermococcus_aggregans_TY_iorf_960 0
GCA_001484685@Thermococcus_sp_2319x1_iorf_2347 0
Thermococcus_sp_23_4_iorf_1993 0
Thermococcus_sp_26_2_iorf_5199 0
Thermococcus_AMTc85_iorf_0 0
GCA_001647085@Thermococcus_piezophilus_CDGS_iorf_6615 0
Thermococcus_IRI15c_iorf_1591 0
Pyrococcus_endeavori_ES4_iorf_194 0
Thermococcus_fumicolans_ST557_iorf_932 0
Thermococcus_aggregans_DSM_12819_iorf_3920 0
Thermococcus_aggregans_DSM_12819_iorf_4719 0
GCA_001433455@Thermococcus_barophilus_CH5_iorf_437 0
GCA_000022365@Thermococcus_gammatolerans_EJ3_iorf_1716 0
GCA_000211475@Pyrococcus_sp_NA2_iorf_5043 0
Thermococcus_sp_AMTc102_iorf_269 0
GCA_028471785@Thermococcus_kodakarensis_TS900_iorf_5884 0
Thermococcus_sp_CIR_03a_iorf_785 0
GCA_006274605@Thermococcus_indicus_IOH1_iorf_4910 0
GCA_002214525@Thermococcus_sp_P6_iorf_236 0
Thermococcus_IRI_06c_iorf_823 0
Thermococcus_sp_AMTc102_iorf_4804 0
GCA_000151205@Thermococcus_sp_AM4_iorf_4800 0
Thermococcus_sp_E10P11_iorf_5639 0
GCA_006274605@Thermococcus_indicus_IOH1_iorf_4482 0
GCA_002214465@Thermococcus_barossii_SHCK_94_iorf_623 0
Pyrococcus_sp_IRI_42C_iorf_2714 0
Thermococcus_sp_IRI27c2_iorf_4868 0
Thermococcus_sp_DS1_iorf_641 0
Pyrococcus_sp_IRI_42C_iorf_4188 0
GCA_001647085@Thermococcus_piezophilus_CDGS_iorf_2458 0
GCA_028471785@Thermococcus_kodakarensis_TS900_iorf_4783 0
GCA_902813195@Thermococcus_sp_2319x1_Essen_iorf_6407 0
GCA_000009965@Thermococcus_kodakarensis_KOD1_iorf_1166 0
Thermococcus_AMTc85_iorf_3030 0
GCA_000018365@Thermococcus_onnurineus_NA1_iorf_2524 0
GCA_024022995@Thermococcus_aggregans_TY_iorf_1000 0
Pyrococcus_EXT16_iorf_6203 0
GCA_002214545@Thermococcus_thioreducens_OGL_20P_iorf_2905 0
GCA_000022545@Thermococcus_sibiricus_MM_739_iorf_5278 0
GCA_000022545@Thermococcus_sibiricus_MM_739_iorf_6512 0
Pyrococcus_32_1_iorf_5545 0
Thermococcus_sp_33_3_iorf_3390 0
Thermococcus_IRI15c_iorf_5675 0
Thermococcus_sp_IRI25c_iorf_506 0
GCA_900012635@Thermococcus_chitonophagus_isolate_1_iorf_3244 0
Thermococcus_prieuri_Col3_iorf_612 0
GCA_008152015@Thermococcus_aciditolerans_SY113_iorf_5036 0
Thermococcus_sp_AMTc94_iorf_3683 0
Thermococcus_EXT11c_iorf_101 0
Thermococcus_sp_IRI_33c_iorf_7132 0
GCA_001592435@Thermococcus_peptonophilus_OG_1_iorf_6131 0
Thermococcus_sp_CIR_10a_iorf_1081 0
